group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,margin_to_threshold_P,P_D_equilibrium,period
Anglosphere ex-US,1989.4545454549384,0.06989027048757634,0.0,0.12205242610150586,0.1397805409751527,5.184840425531915,614,614,3183.4920212765956,64779.06752497006,22219.323620762232,4707.961421044522,14094.343333068275,3404.424912601895,28465.400571139548,6589.6357763563055,61595.575503693464,27851.400571139548,28465.400571139548,early
Continental Europe,4915.22727273064,0.06371946118565575,0.0,0.12590878817376078,0.1274389223713115,5.0236869207003085,781,781,3923.499485066941,177459.97806977574,61010.73814992457,6761.113890327187,39310.683170246964,4982.361745500055,77138.55674960419,7583.493066652027,173536.4785847088,76357.55674960419,77138.55674960419,early
Hindu,436.2272727296365,0.03559373627467721,0.0,0.11826684905172095,0.07118747254935442,4.195652173913044,536,536,2248.8695652173915,23396.956932224195,8031.113258071735,1186.2487131081316,3110.112234257002,755.9909125745041,12255.731439895459,1312.1105258180517,21148.087367006803,11719.731439895459,12255.731439895459,early
Islamic,811.0909090913892,0.043724715458210994,0.0,0.12043817790346857,0.08744943091642199,3.948717948717949,571,571,2254.7179487179487,37898.823809687456,13997.993969797079,2626.9145246999096,5350.8884488340545,1420.1285754502283,18549.941391056327,2145.153416714558,35644.10586096951,17978.941391056327,18549.941391056327,early
Japanese,1065.272727273864,0.12930343406378597,0.0,0.14316257590011117,0.25860686812757194,4.227941176470588,424,424,1792.6470588235293,31781.448455725746,17966.522376233843,2352.8008498491226,5576.376693819076,1050.9541627442031,8238.54938567283,1547.4862690166667,29988.801396902218,7814.54938567283,8238.54938567283,early
Other Civilizations,1224.4545454570703,0.07936772957282301,0.0,0.12861917494270436,0.15873545914564602,4.188197767145136,494,494,2068.969696969697,42881.11367380034,20494.175498565575,4259.341266009828,6959.32607089032,1916.2336606604974,15427.612104344447,2757.2388057106386,40812.143976830645,14933.612104344447,15427.612104344447,early
Other Western,133.27272727302298,0.06582423874465348,0.0,0.12716863289382374,0.13164847748930697,4.304347826086956,372,372,1601.2173913043478,4450.469115736941,1332.6549824498195,337.3823995601935,1093.1385758617566,266.1085449129257,2024.675557425365,408.436009946622,2849.2517244325927,1652.675557425365,2024.675557425365,early
Sinic,5567.727272746829,0.04957627169983425,0.0,0.11153299825174826,0.0991525433996685,4.755968169761273,658,658,3129.4270557029176,278159.16556748,132894.80228788924,13307.019674363268,32958.07073669406,5380.672445904472,112306.29254289671,7231.773919737596,275029.73851177713,111648.29254289671,112306.29254289671,early
United States,4212.909090921046,0.07082745701768545,0.0,0.12330164896199872,0.1416549140353709,5.17995444191344,356,356,1844.0637813211845,139401.03808542812,47936.48647340008,8590.771688702765,31983.253422186426,5696.430527007371,59481.298189841604,10766.789124573672,137556.97430410693,59125.298189841604,59481.298189841604,early
Anglosphere ex-US,1696.1666666732197,0.050809758736477306,0.0,0.30761092975456417,0.10161951747295461,5.184840425531915,614,614,3183.4920212765956,75245.30833884809,19160.85459492164,4499.004782214153,22701.758985283486,5281.256969545998,33382.69475864295,6473.909495937664,72061.81631757149,32768.69475864295,33382.69475864295,late
