rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold,period
alpha,0.048020645478637,20.0,0.96041290957274,19912.509017871424,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,64779.06752497006,3183.4920212765956,early
beta,0.022513037499209652,0.001,2.2513037499209653e-05,50591.72887776316,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,64779.06752497006,3183.4920212765956,early
h_D,0.08576273799047962,0.001,8.576273799047962e-05,29608.964667274515,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,64779.06752497006,3183.4920212765956,early
h_A,0.15406033691084076,0.001,0.00015406033691084075,58795.11747700017,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,64779.06752497006,3183.4920212765956,early
p_D,0.09057931351661067,0.001,9.057931351661066e-05,34213.432936914796,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,64779.06752497006,3183.4920212765956,early
p_A,0.14047511854289335,0.001,0.00014047511854289334,62470.87821962053,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,64779.06752497006,3183.4920212765956,early
d,0.050061078794751655,11.70205746396361,0.5858176207641941,3183.4920212765956,True,-1,crossing_found,Anglosphere ex-US,domestic_active,64779.06752497006,3183.4920212765956,early
r,0.06989027048757634,0.001,6.989027048757634e-05,32405.736630806816,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,64779.06752497006,3183.4920212765956,early
I0,1989.4545454549384,0.04914383832477167,97.7694325363196,3183.4920212765956,True,1,crossing_found,Anglosphere ex-US,domestic_active,64779.06752497006,3183.4920212765956,early
alpha,0.048020645478637,20.0,0.96041290957274,13724.488371317995,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,64779.06752497006,614.0,early
beta,0.022513037499209652,0.001,2.2513037499209653e-05,20577.148120146343,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,64779.06752497006,614.0,early
h_D,0.08576273799047962,0.001,8.576273799047962e-05,4398.423089936421,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,64779.06752497006,614.0,early
h_A,0.15406033691084076,0.001,0.00015406033691084075,23916.631220158844,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,64779.06752497006,614.0,early
p_D,0.09057931351661067,0.001,9.057931351661066e-05,1602.9258396265034,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,64779.06752497006,614.0,early
p_A,0.14047511854289335,0.001,0.00014047511854289334,26436.858460820305,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,64779.06752497006,614.0,early
d,0.050061078794751655,4.595437046139832,0.23005253606312692,614.0,True,-1,crossing_found,Anglosphere ex-US,domestic_PIs,64779.06752497006,614.0,early
r,0.06989027048757634,0.001,6.989027048757634e-05,14239.820195670416,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,64779.06752497006,614.0,early
I0,1989.4545454549384,0.021570046009558752,42.912626079388815,614.0,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,64779.06752497006,614.0,early
alpha,0.027624892215714517,20.0,0.5524978443142904,77989.7615137156,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,177459.97806977574,3923.499485066941,early
beta,0.03725053970887725,0.001,3.725053970887725e-05,145506.39399780484,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,177459.97806977574,3923.499485066941,early
h_D,0.08767497245068245,0.001,8.767497245068245e-05,87287.79004919116,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,177459.97806977574,3923.499485066941,early
h_A,0.1620753298395073,0.001,0.0001620753298395073,166596.29312927794,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,177459.97806977574,3923.499485066941,early
p_D,0.09083924399225089,0.001,9.08392439922509e-05,92230.85823429866,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,177459.97806977574,3923.499485066941,early
p_A,0.13273246685370857,0.001,0.00013273246685370857,172972.24086776993,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,177459.97806977574,3923.499485066941,early
d,0.049954810045564194,20.0,0.9990962009112838,4804.029661695607,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,177459.97806977574,3923.499485066941,early
r,0.06371946118565575,0.001,6.371946118565575e-05,88774.37622306013,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,177459.97806977574,3923.499485066941,early
I0,4915.22727273064,0.02210920753931489,108.67177987570243,3923.499485066941,True,1,crossing_found,Continental Europe,domestic_active,177459.97806977574,3923.499485066941,early
alpha,0.027624892215714517,20.0,0.5524978443142904,50486.08110669738,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,177459.97806977574,781.0,early
beta,0.03725053970887725,0.001,3.725053970887725e-05,59812.76679680469,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,177459.97806977574,781.0,early
h_D,0.08767497245068245,0.001,8.767497245068245e-05,10056.581770428013,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,177459.97806977574,781.0,early
h_A,0.1620753298395073,0.001,0.0001620753298395073,68484.62337775873,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,177459.97806977574,781.0,early
p_D,0.09083924399225089,0.001,9.08392439922509e-05,3043.525648369095,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,177459.97806977574,781.0,early
p_A,0.13273246685370857,0.001,0.00013273246685370857,73237.084715179,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,177459.97806977574,781.0,early
d,0.049954810045564194,6.163156490376045,0.3078793117578214,781.0,True,-1,crossing_found,Continental Europe,domestic_PIs,177459.97806977574,781.0,early
r,0.06371946118565575,0.001,6.371946118565575e-05,38588.57266115908,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,177459.97806977574,781.0,early
I0,4915.22727273064,0.010124638480535318,49.7648991860653,781.0,True,1,crossing_found,Continental Europe,domestic_PIs,177459.97806977574,781.0,early
alpha,0.030182169506642445,19.999999999999996,0.6036433901328488,13007.265681565976,False,-1,no_crossing_in_scanned_range,Hindu,domestic_active,23396.956932224195,2248.8695652173915,early
beta,0.041747916345679925,0.001,4.1747916345679924e-05,15851.135714466622,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,23396.956932224195,2248.8695652173915,early
h_D,0.051882696124553124,0.001,5.1882696124553125e-05,12601.20280491715,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,23396.956932224195,2248.8695652173915,early
h_A,0.12985480002476207,0.001,0.0001298548000247621,20778.960428085,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,23396.956932224195,2248.8695652173915,early
p_D,0.1113865038781269,0.001,0.0001113865038781269,12581.19296579539,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,23396.956932224195,2248.8695652173915,early
p_A,0.12927536413799565,0.001,0.00012927536413799565,22695.052392991558,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,23396.956932224195,2248.8695652173915,early
d,0.03273590082143949,5.451235214153898,0.17845109532488046,2248.8695652173915,True,-1,crossing_found,Hindu,domestic_active,23396.956932224195,2248.8695652173915,early
r,0.03559373627467721,0.001,3.5593736274677216e-05,11704.3306314912,False,1,no_crossing_in_scanned_range,Hindu,domestic_active,23396.956932224195,2248.8695652173915,early
I0,436.2272727296365,0.09611803670587885,41.929309012332624,2248.8695652173915,True,1,crossing_found,Hindu,domestic_active,23396.956932224195,2248.8695652173915,early
alpha,0.030182169506642445,19.999999999999996,0.6036433901328488,10299.583384697944,False,-1,no_crossing_in_scanned_range,Hindu,domestic_PIs,23396.956932224195,536.0,early
beta,0.041747916345679925,0.001,4.1747916345679924e-05,7514.113015964716,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,23396.956932224195,536.0,early
h_D,0.051882696124553124,0.001,5.1882696124553125e-05,2864.7642706352403,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,23396.956932224195,536.0,early
h_A,0.12985480002476207,0.001,0.0001298548000247621,9849.69603509416,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,23396.956932224195,536.0,early
p_D,0.1113865038781269,0.001,0.0001113865038781269,924.7622993742389,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,23396.956932224195,536.0,early
p_A,0.12927536413799565,0.001,0.00012927536413799565,11520.391920808044,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,23396.956932224195,536.0,early
d,0.03273590082143949,3.636596936728842,0.11904727664830604,536.0,True,-1,crossing_found,Hindu,domestic_PIs,23396.956932224195,536.0,early
r,0.03559373627467721,0.001,3.5593736274677216e-05,6130.931185573704,False,1,no_crossing_in_scanned_range,Hindu,domestic_PIs,23396.956932224195,536.0,early
I0,436.2272727296365,0.04373463979923601,19.078242643433743,536.0,True,1,crossing_found,Hindu,domestic_PIs,23396.956932224195,536.0,early
alpha,0.033379754601547684,20.0,0.6675950920309537,17865.76267243862,False,-1,no_crossing_in_scanned_range,Islamic,domestic_active,37898.823809687456,2254.7179487179487,early
beta,0.038666152725991346,0.001,3.8666152725991344e-05,26143.97841709122,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,37898.823809687456,2254.7179487179487,early
h_D,0.052971551706087625,0.001,5.2971551706087626e-05,19656.01807998552,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,37898.823809687456,2254.7179487179487,early
h_A,0.10241230823585566,0.001,0.00010241230823585567,33751.95385858547,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,37898.823809687456,2254.7179487179487,early
p_D,0.11204462740508085,0.001,0.00011204462740508085,20213.534304168898,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,37898.823809687456,2254.7179487179487,early
p_A,0.11398164015804714,0.001,0.00011398164015804714,36796.142019304985,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,37898.823809687456,2254.7179487179487,early
d,0.03679165975673554,9.117750868797295,0.33545718771146993,2254.7179487179487,True,-1,crossing_found,Islamic,domestic_active,37898.823809687456,2254.7179487179487,early
r,0.043724715458210994,0.001,4.3724715458211e-05,18958.89135053021,False,1,no_crossing_in_scanned_range,Islamic,domestic_active,37898.823809687456,2254.7179487179487,early
I0,811.0909090913892,0.05949308506354256,48.254300448840084,2254.7179487179487,True,1,crossing_found,Islamic,domestic_active,37898.823809687456,2254.7179487179487,early
alpha,0.033379754601547684,20.0,0.6675950920309537,13549.003386003787,False,-1,no_crossing_in_scanned_range,Islamic,domestic_PIs,37898.823809687456,571.0,early
beta,0.038666152725991346,0.001,3.8666152725991344e-05,11618.155686991857,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,37898.823809687456,571.0,early
h_D,0.052971551706087625,0.001,5.2971551706087626e-05,3754.339659283377,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,37898.823809687456,571.0,early
h_A,0.10241230823585566,0.001,0.00010241230823585567,14998.259100464782,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,37898.823809687456,571.0,early
p_D,0.11204462740508085,0.001,0.00011204462740508085,1237.4735710090854,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,37898.823809687456,571.0,early
p_A,0.11398164015804714,0.001,0.00011398164015804714,17470.50511686971,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,37898.823809687456,571.0,early
d,0.03679165975673554,4.109532867923721,0.15119653503577116,571.0,True,-1,crossing_found,Islamic,domestic_PIs,37898.823809687456,571.0,early
r,0.043724715458210994,0.001,4.3724715458211e-05,9279.610500784045,False,1,no_crossing_in_scanned_range,Islamic,domestic_PIs,37898.823809687456,571.0,early
I0,811.0909090913892,0.030781768414389826,24.966812526668054,571.0,True,1,crossing_found,Islamic,domestic_PIs,37898.823809687456,571.0,early
alpha,0.024474337457814705,20.0,0.4894867491562941,11791.274034319362,False,-1,no_crossing_in_scanned_range,Japanese,domestic_active,31781.448455725746,1792.6470588235293,early
beta,0.030808450482929746,0.001,3.080845048292975e-05,25207.3647833464,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,31781.448455725746,1792.6470588235293,early
h_D,0.04014301554155901,0.001,4.014301554155901e-05,16346.121320155626,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,31781.448455725746,1792.6470588235293,early
h_A,0.09808181022574505,0.001,9.808181022574506e-05,28597.69243506317,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,31781.448455725746,1792.6470588235293,early
p_D,0.07714172206860984,0.001,7.714172206860983e-05,16743.526899873283,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,31781.448455725746,1792.6470588235293,early
p_A,0.1307687297911814,0.001,0.0001307687297911814,30479.52109862095,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,31781.448455725746,1792.6470588235293,early
d,0.0580013462063447,9.888684957592526,0.5735570397507972,1792.6470588235293,True,-1,crossing_found,Japanese,domestic_active,31781.448455725746,1792.6470588235293,early
r,0.12930343406378597,0.001,0.00012930343406378596,15898.67356466215,False,1,no_crossing_in_scanned_range,Japanese,domestic_active,31781.448455725746,1792.6470588235293,early
I0,1065.272727273864,0.05640545494082306,60.08719281793362,1792.6470588235293,True,1,crossing_found,Japanese,domestic_active,31781.448455725746,1792.6470588235293,early
alpha,0.024474337457814705,20.0,0.4894867491562941,6080.150010750259,False,-1,no_crossing_in_scanned_range,Japanese,domestic_PIs,31781.448455725746,424.0,early
beta,0.030808450482929746,0.001,3.080845048292975e-05,5886.617326032747,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,31781.448455725746,424.0,early
h_D,0.04014301554155901,0.001,4.014301554155901e-05,969.090540755718,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,31781.448455725746,424.0,early
h_A,0.09808181022574505,0.001,9.808181022574506e-05,6678.461395260828,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,31781.448455725746,424.0,early
p_D,0.07714172206860984,0.001,7.714172206860983e-05,442.13572828481824,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,31781.448455725746,424.0,early
p_A,0.1307687297911814,0.001,0.0001307687297911814,7563.56486802128,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,31781.448455725746,424.0,early
d,0.0580013462063447,2.792846712905298,0.16198886909647198,424.0,True,-1,crossing_found,Japanese,domestic_PIs,31781.448455725746,424.0,early
r,0.12930343406378597,0.001,0.00012930343406378596,4121.335360521068,False,1,no_crossing_in_scanned_range,Japanese,domestic_PIs,31781.448455725746,424.0,early
I0,1065.272727273864,0.051465370922865766,54.82465604316223,424.0,True,1,crossing_found,Japanese,domestic_PIs,31781.448455725746,424.0,early
alpha,0.036065346763659835,20.0,0.7213069352731967,17087.599776918167,False,-1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,42881.11367380034,2068.969696969697,early
beta,0.03547966512712608,0.001,3.547966512712608e-05,29872.771830500285,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,42881.11367380034,2068.969696969697,early
h_D,0.04353785673160454,0.001,4.3537856731604544e-05,22329.839687086853,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,42881.11367380034,2068.969696969697,early
h_A,0.09078822712692702,0.001,9.078822712692702e-05,37153.92258206175,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,42881.11367380034,2068.969696969697,early
p_D,0.09071819385899485,0.001,9.071819385899485e-05,23013.34330754823,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,42881.11367380034,2068.969696969697,early
p_A,0.1190578957327212,0.001,0.0001190578957327212,41001.475975004694,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,42881.11367380034,2068.969696969697,early
d,0.047263529585617574,11.873007978777771,0.5611602638752367,2068.969696969697,True,-1,crossing_found,Other Civilizations,domestic_active,42881.11367380034,2068.969696969697,early
r,0.07936772957282301,0.001,7.936772957282301e-05,21451.282478183446,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_active,42881.11367380034,2068.969696969697,early
I0,1224.4545454570703,0.048248973025945545,59.0786743352546,2068.969696969697,True,1,crossing_found,Other Civilizations,domestic_active,42881.11367380034,2068.969696969697,early
alpha,0.036065346763659835,20.0,0.7213069352731967,11344.533943201659,False,-1,no_crossing_in_scanned_range,Other Civilizations,domestic_PIs,42881.11367380034,494.0,early
beta,0.03547966512712608,0.001,3.547966512712608e-05,9420.660751899779,False,1,no_crossing_in_scanned_range,Other Civilizations,domestic_PIs,42881.11367380034,494.0,early
