group,n_early,n_late,T_early,T_late,delta_T,pct_delta_T,M_early,M_late,margin_early,margin_late,delta_margin
Anglosphere ex-US,43768,20354,64779.06752497006,75245.30833884809,10466.24081387803,16.156825366224453,3183.4920212765956,3183.4920212765956,61595.575503693464,72061.81631757149,10466.240813878023
Continental Europe,108135,60776,177459.97806977574,231958.3370080719,54498.35893829615,30.71022521870698,3923.499485066941,3923.499485066941,173536.4785847088,228034.83752300494,54498.35893829615
Hindu,9597,18472,23396.956932224195,110376.7258906895,86979.76895846531,371.7567596949742,2248.8695652173915,2248.8695652173915,21148.087367006803,108127.85632547211,86979.76895846531
Islamic,17844,33199,37898.823809687456,186244.9158712097,148346.09206152224,391.42663847948484,2254.7179487179487,2254.7179487179487,35644.10586096951,183990.19792249176,148346.09206152224
Japanese,23436,8571,31781.448455725746,25051.902215166898,-6729.546240558848,-21.174447885638934,1792.6470588235293,1792.6470588235293,29988.801396902218,23259.25515634337,-6729.546240558848
Other Civilizations,26938,23302,42881.11367380034,91930.40274038052,49049.28906658018,114.38436380104673,2068.969696969697,2068.969696969697,40812.143976830645,89861.43304341083,49049.28906658018
Other Western,2932,1465,4450.469115736941,5730.69018968027,1280.2210739433294,28.765980409041468,1601.2173913043478,1601.2173913043478,2849.2517244325927,4129.472798375922,1280.2210739433294
Sinic,122490,67561,278159.16556748,360990.5787873258,82831.4132198458,29.77842310206072,3129.4270557029176,3129.4270557029176,275029.73851177713,357861.15173162293,82831.4132198458
United States,92684,42123,139401.03808542812,169787.51974862017,30386.48166319204,21.79788764884987,1844.0637813211845,1844.0637813211845,137556.97430410693,167943.45596729897,30386.48166319204
