group,M_multiplier,M_threshold,T_equilibrium,T_over_M,below_M,closest_rate,critical_factor,proximity,elasticity_d,elasticity_alpha,abs_e_d_gt_abs_e_alpha,rank_T_over_M,rank_proximity
Anglosphere ex-US,0.5,1591.746010638298,67531.7991356425,42.42624054610441,False,I0,0.023570318442740757,0.9764296815572593,-2.680490695596177,-0.2668682717721625,True,3,3.0
Anglosphere ex-US,0.75,2387.619015957447,67531.7991356425,28.284160364069606,False,I0,0.03535547766411113,0.9646445223358888,-2.680490695596177,-0.2668682717721625,True,3,3.0
Anglosphere ex-US,1.0,3183.492021276596,67531.7991356425,21.213120273052205,False,I0,0.047140636885481514,0.9528593631145185,-2.680490695596177,-0.2668682717721625,True,3,3.0
Anglosphere ex-US,1.25,3979.365026595745,67531.7991356425,16.970496218441767,False,I0,0.05892579610685189,0.9410742038931481,-2.680490695596177,-0.2668682717721625,True,3,3.0
Anglosphere ex-US,1.5,4775.238031914894,67531.7991356425,14.142080182034803,False,I0,0.07071095532822227,0.9292890446717778,-2.680490695596177,-0.2668682717721625,True,3,3.0
Anglosphere ex-US,2.0,6366.984042553192,67531.7991356425,10.606560136526102,False,I0,0.09428127377096303,0.9057187262290369,-2.680490695596177,-0.2668682717721625,True,3,3.0
Continental Europe,0.5,1961.7497425334705,195095.2684158637,99.44962101226584,False,I0,0.010055342492221902,0.989944657507778,-2.681356086331744,-0.1342337629381011,True,7,7.0
Continental Europe,0.75,2942.6246138002057,195095.2684158637,66.29974734151055,False,I0,0.015083013738332852,0.9849169862616671,-2.681356086331744,-0.1342337629381011,True,7,7.0
Continental Europe,1.0,3923.499485066941,195095.2684158637,49.72481050613292,False,I0,0.0201106849844438,0.9798893150155562,-2.681356086331744,-0.1342337629381011,True,7,7.0
Continental Europe,1.25,4904.374356333676,195095.2684158637,39.77984840490634,False,I0,0.02513835623055475,0.9748616437694453,-2.681356086331744,-0.1342337629381011,True,7,7.0
Continental Europe,1.5,5885.249227600411,195095.2684158637,33.14987367075528,False,I0,0.030166027476665698,0.9698339725233343,-2.681356086331744,-0.1342337629381011,True,7,7.0
Continental Europe,2.0,7846.998970133882,195095.2684158637,24.86240525306646,False,I0,0.0402213699688876,0.9597786300311124,-2.681356086331744,-0.1342337629381011,True,7,7.0
Hindu,0.5,1124.4347826086957,53434.34853852232,47.52107402312324,False,I0,0.02104329543379873,0.9789567045662013,-2.5352050745217234,-0.1229726243277352,True,4,4.0
Hindu,0.75,1686.6521739130435,53434.34853852232,31.680716015415495,False,I0,0.0315649431506981,0.9684350568493019,-2.5352050745217234,-0.1229726243277352,True,4,4.0
