group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,margin_to_threshold_P,P_D_equilibrium
Anglosphere ex-US,2112.704284000026,0.06325770515195472,4.584211973961676e-06,0.08645554123363841,0.12651541030390945,5.184840425531915,614,614,3183.4920212765956,67531.7991356425,21191.68613322147,4644.555010774782,16526.493113139444,4021.6084479316974,29813.61988928158,6516.417852758607,64348.30711436591,29199.61988928158,29813.61988928158
Continental Europe,5615.333170969292,0.059492725763902854,1.79426910448029e-06,0.0891387613843736,0.11898545152780571,5.0236869207003085,781,781,3923.499485066941,195095.26841586374,63315.04532513118,7498.601395467255,48274.710031226685,6118.702829691021,83505.51305950586,8005.629203067679,191171.7689307968,82724.51305950586,83505.51305950586
Hindu,1023.5052781287505,0.02728726333771192,1.0424811050299714e-05,0.08606294746201842,0.05457452667542384,4.195652173913044,536,536,2248.8695652173915,53434.3485385223,14730.594825402797,2132.007140878343,8449.38876233603,1660.9033424810032,30254.364950783478,2367.4313873169067,51185.47897330491,29718.364950783478,30254.364950783478
Islamic,1816.5929916076263,0.031757654631064725,5.624613307835086e-06,0.08444033443289009,0.06351530926212945,3.948717948717949,571,571,2254.7179487179487,88522.00518421628,27389.44799903859,4459.573479760233,13860.026410441964,3028.9315359248376,47272.530774735715,3810.2250724859064,86267.28723549833,46701.530774735715,47272.530774735715
Japanese,1189.5166364738277,0.10153506476203165,1.078574125006741e-05,0.10153506476203165,0.2554480086323565,4.227941176470588,424,424,1792.6470588235293,29331.828826929916,16247.826649957404,2223.175067406343,5713.560277810555,1123.4310703808535,7370.441899161955,1417.8700768659498,27539.181768106388,6946.441899161955,7370.441899161955
Other Civilizations,1656.344401139248,0.06620238535606404,6.163518136152115e-06,0.09107504445890656,0.13240477071212808,4.188197767145136,494,494,2068.969696969697,59354.8483926087,26049.841003663503,5267.076188161596,10984.85909102485,2718.84515911997,22320.14829792035,3345.163795830655,57285.878695639,21826.14829792035,22320.14829792035
Other Western,146.34508407074387,0.0599177820154182,7.02247191011236e-05,0.09081708526107071,0.1198355640308364,4.304347826086956,372,372,1601.2173913043478,4824.24697299595,1346.5825006549956,328.4030679298398,1319.3147293830148,301.74785459211904,2158.34974295794,385.08226744250834,3223.0295816916023,1786.3497429579402,2158.34974295794
Sinic,6479.107621180145,0.04199251029376683,1.4214540053020233e-06,0.07945551622401613,0.08398502058753365,4.755968169761273,658,658,3129.4270557029176,303934.77257208445,122345.87439466927,13024.939249275505,48476.225107808714,7368.654441335757,133112.67306960648,7706.833254742887,300805.34551638155,132454.67306960648,133112.67306960648
United States,4453.2239743429045,0.062021296088460076,2.1971020224324116e-06,0.08711315657001356,0.12404259217692015,5.17995444191344,356,356,1844.0637813211845,147066.61070416053,45680.375160282434,8433.069680455974,37458.00419822811,6695.733531519731,63928.23134565,10435.964360170334,145222.54692283933,63572.23134565,63928.23134565
