rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0456012888273175,66130.55314272776,-2.074942487612748,Anglosphere ex-US,domestic_active,3183.492021276596,2.074942487612748
I0,2112.704284000026,68148.42359547867,0.9130875642712132,Anglosphere ex-US,domestic_active,3183.492021276596,0.9130875642712132
r,0.0632577051519547,68019.19789629398,0.7217322311708229,Anglosphere ex-US,domestic_active,3183.492021276596,0.7217322311708229
d,0.0458472850546197,191120.4557188904,-2.037370116276066,Continental Europe,domestic_active,3923.499485066941,2.037370116276066
I0,5615.333170969292,196867.16498465947,0.9082211901822046,Continental Europe,domestic_active,3923.499485066941,0.9082211901822046
r,0.0594927257639028,196467.1719207753,0.7031967079730694,Continental Europe,domestic_active,3923.499485066941,0.7031967079730694
d,0.0277057844536427,52552.64160383445,-1.6500752021936025,Hindu,domestic_active,2248.8695652173915,1.6500752021936025
I0,1023.5052781287504,53899.804544445695,0.8710801547207628,Hindu,domestic_active,2248.8695652173915,0.8710801547207628
r,0.0272872633377119,53721.02135275623,0.5364953855987534,Hindu,domestic_active,2248.8695652173915,0.5364953855987534
d,0.0300792155414555,86980.6118703478,-1.741254404100773,Islamic,domestic_active,2254.7179487179487,1.741254404100773
I0,1816.5929916076263,89299.82895752252,0.8786784389797461,Islamic,domestic_active,2254.7179487179487,0.8786784389797461
r,0.0317576546310647,89032.25188328864,0.5764066211678414,Islamic,domestic_active,2254.7179487179487,0.5764066211678414
d,0.0552190245713187,28745.45407099333,-1.99910738398358,Japanese,domestic_active,1792.6470588235293,1.99910738398358
I0,1189.5166364738277,29612.973835968725,0.9584980558071684,Japanese,domestic_active,1792.6470588235293,0.9584980558071684
r,0.1015350647620316,29496.55656959256,0.5616006544788215,Japanese,domestic_active,1792.6470588235293,0.5616006544788215
d,0.0418088008437154,58083.029735090655,-2.1427376060426777,Other Civilizations,domestic_active,2068.969696969697,2.1427376060426777
I0,1656.344401139248,59896.60515916889,0.9127422295423682,Other Civilizations,domestic_active,2068.969696969697,0.9127422295423682
r,0.066202385356064,59782.45936353755,0.7204314095798441,Other Civilizations,domestic_active,2068.969696969697,0.7204314095798441
d,0.0442928225810436,4723.677050715958,-2.08467607158048,Other Western,domestic_active,1601.2173913043478,2.08467607158048
I0,146.34508407074387,4868.032221739428,0.9076079435519864,Other Western,domestic_active,1601.2173913043478,0.9076079435519864
r,0.0599177820154182,4858.056651332725,0.7008280986862108,Other Western,domestic_active,1601.2173913043478,0.7008280986862108
d,0.0336695344484046,298034.1474066192,-1.9414116770945755,Sinic,domestic_active,3129.4270557029176,1.9414116770945755
I0,6479.107621180145,306657.48132670706,0.8958200904692021,Sinic,domestic_active,3129.4270557029176,0.8958200904692021
r,0.0419925102937668,305921.26321386016,0.653591106066871,Sinic,domestic_active,3129.4270557029176,0.653591106066871
d,0.0459350067675392,144049.27731428528,-2.0516780630410527,United States,domestic_active,1844.0637813211845,2.0516780630410527
I0,4453.2239743429045,148407.33808098495,0.9116463420248592,United States,domestic_active,1844.0637813211845,0.9116463420248592
r,0.06202129608846,148120.03287741274,0.7162891483038789,United States,domestic_active,1844.0637813211845,0.7162891483038789
