rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold
alpha,0.0486519990788181,20.0,0.973039981576362,29175.732745983514,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
beta,0.0223066560129662,0.001,2.2306656012966198e-05,60719.50675762494,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
h_D,0.0886244132610387,0.001,8.862441326103871e-05,52504.89168903086,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
h_A,0.1540762693288373,0.001,0.00015407626932883732,66526.224714387,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
p_D,0.0734687021480323,,,67531.7991356425,False,0,no_effect,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
p_A,0.1100347161666016,,,67531.7991356425,False,0,no_effect,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
d,0.0456012888273175,20.0,0.9120257765463501,3948.362112815569,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
I,3771.8823529411766,0.047140636885481486,177.80893637475552,3183.4920212765956,True,1,crossing_found,Anglosphere ex-US,domestic_active,67531.7991356425,3183.4920212765956
alpha,0.0486519990788181,20.0,0.973039981576362,20001.483225353648,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
beta,0.0223066560129662,0.001,2.2306656012966198e-05,24740.927184998127,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
h_D,0.0886244132610387,0.001,8.862441326103871e-05,8808.326059936471,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
h_A,0.1540762693288373,0.001,0.00015407626932883732,27110.58176869723,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
p_D,0.0734687021480323,0.001,7.346870214803231e-05,3257.0296479833305,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
p_A,0.1100347161666016,0.001,0.0001100347161666016,28596.023301236375,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
d,0.0456012888273175,3.07548021246636,0.14024586145137827,3183.4920212765956,True,-1,crossing_found,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
I,3771.8823529411766,0.1067797883349652,402.76079927144934,3183.4920212765956,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,67531.7991356425,3183.4920212765956
alpha,0.0279291100322499,20.0,0.558582200644998,104863.13991424668,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586368,3923.499485066941
beta,0.0359331483658591,0.001,3.59331483658591e-05,179194.7226984635,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586368,3923.499485066941
h_D,0.0874078776328974,0.001,8.74078776328974e-05,167970.2069768099,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586368,3923.499485066941
h_A,0.1540412584288036,0.001,0.00015404125842880358,193934.83478469314,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,195095.26841586368,3923.499485066941
