group,inflow_I,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium
Anglosphere ex-US,3771.8823529411766,5.184840425531915,614,614,3183.4920212765956,67531.7991356425,21191.686133221472,4644.555010774782,16526.493113139444,4021.6084479316974,29813.619889281585,6516.417852758607,64348.30711436591,29813.619889281585
Continental Europe,9935.941176470587,5.0236869207003085,781,781,3923.499485066941,195095.26841586368,63315.04532513117,7498.601395467256,48274.71003122668,6118.70282969102,83505.51305950586,8005.62920306768,191171.76893079674,83505.51305950586
Hindu,1651.1176470588234,4.195652173913044,536,536,2248.8695652173915,53434.34853852231,14730.594825402797,2132.007140878343,8449.38876233603,1660.9033424810032,30254.364950783485,2367.4313873169067,51185.47897330492,30254.364950783485
Islamic,3002.529411764706,3.948717948717949,571,571,2254.7179487179487,88522.00518421626,27389.447999038595,4459.573479760234,13860.026410441962,3028.9315359248376,47272.53077473571,3810.225072485907,86267.28723549831,47272.53077473571
Japanese,1882.764705882353,4.227941176470588,424,424,1792.6470588235293,29331.828826929916,16247.826649957407,2223.175067406343,5713.560277810555,1123.4310703808535,7370.441899161955,1417.87007686595,27539.181768106388,7370.441899161955
Other Civilizations,2955.294117647059,4.188197767145136,494,494,2068.969696969697,59354.848392608685,26049.841003663496,5267.0761881615945,10984.859091024848,2718.845159119969,22320.148297920343,3345.163795830654,57285.87869563899,22320.148297920343
Other Western,258.6470588235294,4.304347826086956,372,372,1601.2173913043478,4824.24697299595,1346.5825006549958,328.4030679298398,1319.3147293830145,301.74785459211904,2158.3497429579397,385.08226744250834,3223.0295816916023,2158.3497429579397
Sinic,11179.470588235294,4.755968169761273,658,658,3129.4270557029176,303934.77257208456,122345.8743946693,13024.939249275503,48476.22510780872,7368.654441335756,133112.6730696065,7706.833254742888,300805.34551638167,133112.6730696065
United States,7929.823529411765,5.17995444191344,356,356,1844.0637813211845,147066.6107041606,45680.37516028245,8433.069680455976,37458.00419822812,6695.7335315197315,63928.23134565001,10435.964360170334,145222.5469228394,63928.23134565001
