rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold
I,3771.8823529411766,68207.11712699893,0.9999999999999978,Anglosphere ex-US,domestic_active,3183.4920212765956
h_D,0.0886244132610387,67607.02189912778,0.11138865608212932,Anglosphere ex-US,domestic_active,3183.4920212765956
beta,0.0223066560129662,67577.77204830902,0.06807594830130158,Anglosphere ex-US,domestic_active,3183.4920212765956
h_A,0.1540762693288373,67534.67318045217,0.004255839243809185,Anglosphere ex-US,domestic_active,3183.4920212765956
p_D,0.0734687021480323,67531.7991356425,0.0,Anglosphere ex-US,domestic_active,3183.4920212765956
p_A,0.1100347161666016,67531.79913564249,-2.1548241590807134e-14,Anglosphere ex-US,domestic_active,3183.4920212765956
alpha,0.0486519990788181,67417.58439402826,-0.16912734900610477,Anglosphere ex-US,domestic_active,3183.4920212765956
d,0.0456012888273175,66853.50319875884,-1.0044096937522033,Anglosphere ex-US,domestic_active,3183.4920212765956
I,3771.8823529411766,30111.756088174396,0.999999999999984,Anglosphere ex-US,domestic_PIs,3183.4920212765956
h_D,0.0886244132610387,29918.769685091378,0.3526904689879549,Anglosphere ex-US,domestic_PIs,3183.4920212765956
p_D,0.0734687021480323,29914.96651617314,0.3399339874457513,Anglosphere ex-US,domestic_PIs,3183.4920212765956
beta,0.0223066560129662,29844.460766709202,0.1034455981600054,Anglosphere ex-US,domestic_PIs,3183.4920212765956
h_A,0.1540762693288373,29821.345476285962,0.025912945268195223,Anglosphere ex-US,domestic_PIs,3183.4920212765956
p_A,0.1100347161666016,29818.250137736566,0.015530648315021022,Anglosphere ex-US,domestic_PIs,3183.4920212765956
alpha,0.0486519990788181,29784.401808304017,-0.09800246023822022,Anglosphere ex-US,domestic_PIs,3183.4920212765956
d,0.0456012888273175,29300.15612184286,-1.7222456358723504,Anglosphere ex-US,domestic_PIs,3183.4920212765956
I,9935.941176470587,197046.22110002232,0.9999999999999984,Continental Europe,domestic_active,3923.499485066941
h_D,0.0874078776328974,195215.0391814948,0.06139091255447974,Continental Europe,domestic_active,3923.499485066941
