group,T_equilibrium_mean,T_equilibrium_median,T_equilibrium_q025,T_equilibrium_q975,P_D_equilibrium_mean,P_D_equilibrium_q025,P_D_equilibrium_q975,margin_mean,margin_q025,margin_q975,n
Anglosphere ex-US,67531.4145532352,67545.69847577164,66727.57408452682,68334.43900796668,29813.94343385894,29158.037967384465,30485.76373696623,64347.9225319586,63544.082063250215,65150.946986690076,200
Continental Europe,195072.61854616934,195076.70314013225,193718.000384044,196316.47303135772,83476.14872425224,82420.73700031501,84527.22646745434,191149.1190611024,189794.50089897704,192392.97354629077,200
Hindu,53464.50535099728,53407.019708083186,52402.47540813953,54514.52299597257,30276.56271771405,29348.313273443382,31257.92377199332,51215.63578577988,50153.60584292214,52265.65343075518,200
Islamic,88514.3285449291,88427.60171821399,87356.38993483353,89879.97606762817,47264.30724695345,46155.35465790676,48510.64965221779,86259.61059621116,85101.67198611557,87625.25811891022,200
Japanese,29353.466510201684,29372.223502569093,28931.811675365592,29756.74633345309,7387.374033814853,7127.597152580985,7661.914047384841,27560.81945137816,27139.164616542064,27964.099274629563,200
Other Civilizations,59388.68643917048,59395.94696644668,58589.55016847935,60177.91380073958,22325.55030872708,21715.460000424086,22974.968398164372,57319.7167422008,56520.58047150965,58108.944103769885,200
Other Western,4833.075702578909,4829.132955572379,4602.051669704433,5076.9224536496295,2162.7174150809133,1980.714915405045,2369.825077759866,3231.8583112745605,3000.834278400085,3475.705062345282,200
Sinic,303807.35740559443,303842.64970086527,301809.37819674116,305720.31774363894,133015.35961599776,131417.6227536111,134567.3215511115,300677.93034989154,298679.95114103827,302590.89068793604,200
United States,147012.38280702633,146991.17151565268,145946.86496029774,148235.04770137512,63905.86127549797,62993.92954404136,64905.95865353519,145168.31902570513,144102.80117897654,146390.98392005393,200
