focal,phi,exogenous_share,host_recruits,gamma,group,collapse_year
Sinic,4.0,fitted,True,2.0,Japanese,
Sinic,4.0,fitted,True,2.0,Other Civilizations,
Sinic,4.0,fitted,True,2.0,Other Western,61.36250306929244
Sinic,4.0,fitted,True,2.0,Sinic,
Sinic,4.0,fitted,True,2.0,United States,
Sinic,8.0,fitted,True,2.0,Anglosphere ex-US,
Sinic,8.0,fitted,True,2.0,Continental Europe,
Sinic,8.0,fitted,True,2.0,Hindu,
Sinic,8.0,fitted,True,2.0,Islamic,
Sinic,8.0,fitted,True,2.0,Japanese,
Sinic,8.0,fitted,True,2.0,Other Civilizations,
Sinic,8.0,fitted,True,2.0,Other Western,36.927465668030464
Sinic,8.0,fitted,True,2.0,Sinic,
Sinic,8.0,fitted,True,2.0,United States,
Sinic,0.0,fitted,False,0.0,Anglosphere ex-US,
Sinic,0.0,fitted,False,0.0,Continental Europe,
Sinic,0.0,fitted,False,0.0,Hindu,
Sinic,0.0,fitted,False,0.0,Islamic,
Sinic,0.0,fitted,False,0.0,Japanese,
Sinic,0.0,fitted,False,0.0,Other Civilizations,
Sinic,0.0,fitted,False,0.0,Other Western,
Sinic,0.0,fitted,False,0.0,Sinic,
Sinic,0.0,fitted,False,0.0,United States,
Sinic,0.5,fitted,False,0.0,Anglosphere ex-US,
Sinic,0.5,fitted,False,0.0,Continental Europe,
Sinic,0.5,fitted,False,0.0,Hindu,
Sinic,0.5,fitted,False,0.0,Islamic,
Sinic,0.5,fitted,False,0.0,Japanese,
Sinic,0.5,fitted,False,0.0,Other Civilizations,
Sinic,0.5,fitted,False,0.0,Other Western,
Sinic,0.5,fitted,False,0.0,Sinic,
Sinic,0.5,fitted,False,0.0,United States,
Sinic,1.0,fitted,False,0.0,Anglosphere ex-US,
Sinic,1.0,fitted,False,0.0,Continental Europe,
Sinic,1.0,fitted,False,0.0,Hindu,
Sinic,1.0,fitted,False,0.0,Islamic,
Sinic,1.0,fitted,False,0.0,Japanese,
Sinic,1.0,fitted,False,0.0,Other Civilizations,
Sinic,1.0,fitted,False,0.0,Other Western,
Sinic,1.0,fitted,False,0.0,Sinic,
Sinic,1.0,fitted,False,0.0,United States,
Sinic,2.0,fitted,False,0.0,Anglosphere ex-US,
Sinic,2.0,fitted,False,0.0,Continental Europe,
Sinic,2.0,fitted,False,0.0,Hindu,
Sinic,2.0,fitted,False,0.0,Islamic,
Sinic,2.0,fitted,False,0.0,Japanese,
Sinic,2.0,fitted,False,0.0,Other Civilizations,
Sinic,2.0,fitted,False,0.0,Other Western,
Sinic,2.0,fitted,False,0.0,Sinic,
Sinic,2.0,fitted,False,0.0,United States,
Sinic,4.0,fitted,False,0.0,Anglosphere ex-US,
Sinic,4.0,fitted,False,0.0,Continental Europe,
Sinic,4.0,fitted,False,0.0,Hindu,
Sinic,4.0,fitted,False,0.0,Islamic,
Sinic,4.0,fitted,False,0.0,Japanese,
Sinic,4.0,fitted,False,0.0,Other Civilizations,
Sinic,4.0,fitted,False,0.0,Other Western,
Sinic,4.0,fitted,False,0.0,Sinic,
Sinic,4.0,fitted,False,0.0,United States,
Sinic,8.0,fitted,False,0.0,Anglosphere ex-US,
Sinic,8.0,fitted,False,0.0,Continental Europe,
Sinic,8.0,fitted,False,0.0,Hindu,
Sinic,8.0,fitted,False,0.0,Islamic,
Sinic,8.0,fitted,False,0.0,Japanese,
Sinic,8.0,fitted,False,0.0,Other Civilizations,
Sinic,8.0,fitted,False,0.0,Other Western,53.29134216298675
Sinic,8.0,fitted,False,0.0,Sinic,
Sinic,8.0,fitted,False,0.0,United States,
Sinic,0.0,fitted,False,1.0,Anglosphere ex-US,
Sinic,0.0,fitted,False,1.0,Continental Europe,
Sinic,0.0,fitted,False,1.0,Hindu,
Sinic,0.0,fitted,False,1.0,Islamic,
Sinic,0.0,fitted,False,1.0,Japanese,
Sinic,0.0,fitted,False,1.0,Other Civilizations,
Sinic,0.0,fitted,False,1.0,Other Western,
Sinic,0.0,fitted,False,1.0,Sinic,
Sinic,0.0,fitted,False,1.0,United States,
Sinic,0.5,fitted,False,1.0,Anglosphere ex-US,
Sinic,0.5,fitted,False,1.0,Continental Europe,
Sinic,0.5,fitted,False,1.0,Hindu,
Sinic,0.5,fitted,False,1.0,Islamic,
Sinic,0.5,fitted,False,1.0,Japanese,
Sinic,0.5,fitted,False,1.0,Other Civilizations,
Sinic,0.5,fitted,False,1.0,Other Western,
Sinic,0.5,fitted,False,1.0,Sinic,
Sinic,0.5,fitted,False,1.0,United States,
Sinic,1.0,fitted,False,1.0,Anglosphere ex-US,
Sinic,1.0,fitted,False,1.0,Continental Europe,
Sinic,1.0,fitted,False,1.0,Hindu,
Sinic,1.0,fitted,False,1.0,Islamic,
Sinic,1.0,fitted,False,1.0,Japanese,
Sinic,1.0,fitted,False,1.0,Other Civilizations,
Sinic,1.0,fitted,False,1.0,Other Western,
Sinic,1.0,fitted,False,1.0,Sinic,
Sinic,1.0,fitted,False,1.0,United States,
Sinic,2.0,fitted,False,1.0,Anglosphere ex-US,
Sinic,2.0,fitted,False,1.0,Continental Europe,
Sinic,2.0,fitted,False,1.0,Hindu,
Sinic,2.0,fitted,False,1.0,Islamic,
Sinic,2.0,fitted,False,1.0,Japanese,
Sinic,2.0,fitted,False,1.0,Other Civilizations,
Sinic,2.0,fitted,False,1.0,Other Western,
Sinic,2.0,fitted,False,1.0,Sinic,
Sinic,2.0,fitted,False,1.0,United States,
Sinic,4.0,fitted,False,1.0,Anglosphere ex-US,
Sinic,4.0,fitted,False,1.0,Continental Europe,
Sinic,4.0,fitted,False,1.0,Hindu,
Sinic,4.0,fitted,False,1.0,Islamic,
Sinic,4.0,fitted,False,1.0,Japanese,
Sinic,4.0,fitted,False,1.0,Other Civilizations,
Sinic,4.0,fitted,False,1.0,Other Western,
Sinic,4.0,fitted,False,1.0,Sinic,
Sinic,4.0,fitted,False,1.0,United States,
Sinic,8.0,fitted,False,1.0,Anglosphere ex-US,
Sinic,8.0,fitted,False,1.0,Continental Europe,
Sinic,8.0,fitted,False,1.0,Hindu,
Sinic,8.0,fitted,False,1.0,Islamic,
Sinic,8.0,fitted,False,1.0,Japanese,
Sinic,8.0,fitted,False,1.0,Other Civilizations,
Sinic,8.0,fitted,False,1.0,Other Western,43.774570442715145
Sinic,8.0,fitted,False,1.0,Sinic,
Sinic,8.0,fitted,False,1.0,United States,
Sinic,0.0,fitted,False,2.0,Anglosphere ex-US,
Sinic,0.0,fitted,False,2.0,Continental Europe,
Sinic,0.0,fitted,False,2.0,Hindu,
Sinic,0.0,fitted,False,2.0,Islamic,
Sinic,0.0,fitted,False,2.0,Japanese,
Sinic,0.0,fitted,False,2.0,Other Civilizations,
Sinic,0.0,fitted,False,2.0,Other Western,
Sinic,0.0,fitted,False,2.0,Sinic,
Sinic,0.0,fitted,False,2.0,United States,
Sinic,0.5,fitted,False,2.0,Anglosphere ex-US,
Sinic,0.5,fitted,False,2.0,Continental Europe,
Sinic,0.5,fitted,False,2.0,Hindu,
Sinic,0.5,fitted,False,2.0,Islamic,
Sinic,0.5,fitted,False,2.0,Japanese,
Sinic,0.5,fitted,False,2.0,Other Civilizations,
Sinic,0.5,fitted,False,2.0,Other Western,
Sinic,0.5,fitted,False,2.0,Sinic,
Sinic,0.5,fitted,False,2.0,United States,
Sinic,1.0,fitted,False,2.0,Anglosphere ex-US,
Sinic,1.0,fitted,False,2.0,Continental Europe,
Sinic,1.0,fitted,False,2.0,Hindu,
Sinic,1.0,fitted,False,2.0,Islamic,
Sinic,1.0,fitted,False,2.0,Japanese,
Sinic,1.0,fitted,False,2.0,Other Civilizations,
Sinic,1.0,fitted,False,2.0,Other Western,
Sinic,1.0,fitted,False,2.0,Sinic,
Sinic,1.0,fitted,False,2.0,United States,
Sinic,2.0,fitted,False,2.0,Anglosphere ex-US,
Sinic,2.0,fitted,False,2.0,Continental Europe,
Sinic,2.0,fitted,False,2.0,Hindu,
Sinic,2.0,fitted,False,2.0,Islamic,
Sinic,2.0,fitted,False,2.0,Japanese,
Sinic,2.0,fitted,False,2.0,Other Civilizations,
Sinic,2.0,fitted,False,2.0,Other Western,
Sinic,2.0,fitted,False,2.0,Sinic,
Sinic,2.0,fitted,False,2.0,United States,
Sinic,4.0,fitted,False,2.0,Anglosphere ex-US,
Sinic,4.0,fitted,False,2.0,Continental Europe,
Sinic,4.0,fitted,False,2.0,Hindu,
Sinic,4.0,fitted,False,2.0,Islamic,
Sinic,4.0,fitted,False,2.0,Japanese,
Sinic,4.0,fitted,False,2.0,Other Civilizations,
Sinic,4.0,fitted,False,2.0,Other Western,74.73576837438543
Sinic,4.0,fitted,False,2.0,Sinic,
Sinic,4.0,fitted,False,2.0,United States,
Sinic,8.0,fitted,False,2.0,Anglosphere ex-US,
Sinic,8.0,fitted,False,2.0,Continental Europe,
Sinic,8.0,fitted,False,2.0,Hindu,
Sinic,8.0,fitted,False,2.0,Islamic,
Sinic,8.0,fitted,False,2.0,Japanese,
Sinic,8.0,fitted,False,2.0,Other Civilizations,
Sinic,8.0,fitted,False,2.0,Other Western,38.82841094645462
Sinic,8.0,fitted,False,2.0,Sinic,
Sinic,8.0,fitted,False,2.0,United States,
Sinic,0.0,0.25,False,0.0,Anglosphere ex-US,
Sinic,0.0,0.25,False,0.0,Continental Europe,
Sinic,0.0,0.25,False,0.0,Hindu,
Sinic,0.0,0.25,False,0.0,Islamic,
Sinic,0.0,0.25,False,0.0,Japanese,
Sinic,0.0,0.25,False,0.0,Other Civilizations,
Sinic,0.0,0.25,False,0.0,Other Western,
Sinic,0.0,0.25,False,0.0,Sinic,
Sinic,0.0,0.25,False,0.0,United States,
Sinic,0.5,0.25,False,0.0,Anglosphere ex-US,
Sinic,0.5,0.25,False,0.0,Continental Europe,
Sinic,0.5,0.25,False,0.0,Hindu,
Sinic,0.5,0.25,False,0.0,Islamic,
Sinic,0.5,0.25,False,0.0,Japanese,
Sinic,0.5,0.25,False,0.0,Other Civilizations,
Sinic,0.5,0.25,False,0.0,Other Western,
Sinic,0.5,0.25,False,0.0,Sinic,
Sinic,0.5,0.25,False,0.0,United States,
Sinic,1.0,0.25,False,0.0,Anglosphere ex-US,
Sinic,1.0,0.25,False,0.0,Continental Europe,
Sinic,1.0,0.25,False,0.0,Hindu,
Sinic,1.0,0.25,False,0.0,Islamic,
Sinic,1.0,0.25,False,0.0,Japanese,
Sinic,1.0,0.25,False,0.0,Other Civilizations,
Sinic,1.0,0.25,False,0.0,Other Western,
Sinic,1.0,0.25,False,0.0,Sinic,
Sinic,1.0,0.25,False,0.0,United States,
Sinic,2.0,0.25,False,0.0,Anglosphere ex-US,
Sinic,2.0,0.25,False,0.0,Continental Europe,
Sinic,2.0,0.25,False,0.0,Hindu,
Sinic,2.0,0.25,False,0.0,Islamic,
Sinic,2.0,0.25,False,0.0,Japanese,
Sinic,2.0,0.25,False,0.0,Other Civilizations,
Sinic,2.0,0.25,False,0.0,Other Western,
Sinic,2.0,0.25,False,0.0,Sinic,
Sinic,2.0,0.25,False,0.0,United States,
Sinic,4.0,0.25,False,0.0,Anglosphere ex-US,
Sinic,4.0,0.25,False,0.0,Continental Europe,
Sinic,4.0,0.25,False,0.0,Hindu,
Sinic,4.0,0.25,False,0.0,Islamic,
Sinic,4.0,0.25,False,0.0,Japanese,
Sinic,4.0,0.25,False,0.0,Other Civilizations,
Sinic,4.0,0.25,False,0.0,Other Western,
Sinic,4.0,0.25,False,0.0,Sinic,
Sinic,4.0,0.25,False,0.0,United States,
Sinic,8.0,0.25,False,0.0,Anglosphere ex-US,
Sinic,8.0,0.25,False,0.0,Continental Europe,
Sinic,8.0,0.25,False,0.0,Hindu,
Sinic,8.0,0.25,False,0.0,Islamic,
Sinic,8.0,0.25,False,0.0,Japanese,
Sinic,8.0,0.25,False,0.0,Other Civilizations,
Sinic,8.0,0.25,False,0.0,Other Western,46.95467540449339
Sinic,8.0,0.25,False,0.0,Sinic,
Sinic,8.0,0.25,False,0.0,United States,
United States,0.0,fitted,True,0.0,Anglosphere ex-US,
United States,0.0,fitted,True,0.0,Continental Europe,
United States,0.0,fitted,True,0.0,Hindu,
United States,0.0,fitted,True,0.0,Islamic,
United States,0.0,fitted,True,0.0,Japanese,
United States,0.0,fitted,True,0.0,Other Civilizations,
United States,0.0,fitted,True,0.0,Other Western,
United States,0.0,fitted,True,0.0,Sinic,
United States,0.0,fitted,True,0.0,United States,
United States,0.5,fitted,True,0.0,Anglosphere ex-US,
United States,0.5,fitted,True,0.0,Continental Europe,
United States,0.5,fitted,True,0.0,Hindu,
United States,0.5,fitted,True,0.0,Islamic,
United States,0.5,fitted,True,0.0,Japanese,
United States,0.5,fitted,True,0.0,Other Civilizations,
United States,0.5,fitted,True,0.0,Other Western,
United States,0.5,fitted,True,0.0,Sinic,
United States,0.5,fitted,True,0.0,United States,
United States,1.0,fitted,True,0.0,Anglosphere ex-US,
United States,1.0,fitted,True,0.0,Continental Europe,
United States,1.0,fitted,True,0.0,Hindu,
United States,1.0,fitted,True,0.0,Islamic,
United States,1.0,fitted,True,0.0,Japanese,
United States,1.0,fitted,True,0.0,Other Civilizations,
United States,1.0,fitted,True,0.0,Other Western,
United States,1.0,fitted,True,0.0,Sinic,
United States,1.0,fitted,True,0.0,United States,
United States,2.0,fitted,True,0.0,Anglosphere ex-US,
United States,2.0,fitted,True,0.0,Continental Europe,
United States,2.0,fitted,True,0.0,Hindu,
United States,2.0,fitted,True,0.0,Islamic,
United States,2.0,fitted,True,0.0,Japanese,
United States,2.0,fitted,True,0.0,Other Civilizations,
United States,2.0,fitted,True,0.0,Other Western,
United States,2.0,fitted,True,0.0,Sinic,
United States,2.0,fitted,True,0.0,United States,
United States,4.0,fitted,True,0.0,Anglosphere ex-US,
United States,4.0,fitted,True,0.0,Continental Europe,
United States,4.0,fitted,True,0.0,Hindu,
United States,4.0,fitted,True,0.0,Islamic,
United States,4.0,fitted,True,0.0,Japanese,
United States,4.0,fitted,True,0.0,Other Civilizations,
United States,4.0,fitted,True,0.0,Other Western,
United States,4.0,fitted,True,0.0,Sinic,
United States,4.0,fitted,True,0.0,United States,
United States,8.0,fitted,True,0.0,Anglosphere ex-US,
United States,8.0,fitted,True,0.0,Continental Europe,
United States,8.0,fitted,True,0.0,Hindu,
United States,8.0,fitted,True,0.0,Islamic,
United States,8.0,fitted,True,0.0,Japanese,
United States,8.0,fitted,True,0.0,Other Civilizations,
United States,8.0,fitted,True,0.0,Other Western,53.33257989839907
United States,8.0,fitted,True,0.0,Sinic,
United States,8.0,fitted,True,0.0,United States,
United States,0.0,fitted,True,1.0,Anglosphere ex-US,
United States,0.0,fitted,True,1.0,Continental Europe,
United States,0.0,fitted,True,1.0,Hindu,
United States,0.0,fitted,True,1.0,Islamic,
United States,0.0,fitted,True,1.0,Japanese,
United States,0.0,fitted,True,1.0,Other Civilizations,
United States,0.0,fitted,True,1.0,Other Western,
United States,0.0,fitted,True,1.0,Sinic,
United States,0.0,fitted,True,1.0,United States,
United States,0.5,fitted,True,1.0,Anglosphere ex-US,
United States,0.5,fitted,True,1.0,Continental Europe,
United States,0.5,fitted,True,1.0,Hindu,
United States,0.5,fitted,True,1.0,Islamic,
United States,0.5,fitted,True,1.0,Japanese,
United States,0.5,fitted,True,1.0,Other Civilizations,
United States,0.5,fitted,True,1.0,Other Western,
United States,0.5,fitted,True,1.0,Sinic,
United States,0.5,fitted,True,1.0,United States,
United States,1.0,fitted,True,1.0,Anglosphere ex-US,
United States,1.0,fitted,True,1.0,Continental Europe,
United States,1.0,fitted,True,1.0,Hindu,
United States,1.0,fitted,True,1.0,Islamic,
United States,1.0,fitted,True,1.0,Japanese,
United States,1.0,fitted,True,1.0,Other Civilizations,
United States,1.0,fitted,True,1.0,Other Western,
United States,1.0,fitted,True,1.0,Sinic,
United States,1.0,fitted,True,1.0,United States,
United States,2.0,fitted,True,1.0,Anglosphere ex-US,
United States,2.0,fitted,True,1.0,Continental Europe,
United States,2.0,fitted,True,1.0,Hindu,
United States,2.0,fitted,True,1.0,Islamic,
United States,2.0,fitted,True,1.0,Japanese,
United States,2.0,fitted,True,1.0,Other Civilizations,
United States,2.0,fitted,True,1.0,Other Western,
United States,2.0,fitted,True,1.0,Sinic,
United States,2.0,fitted,True,1.0,United States,
United States,4.0,fitted,True,1.0,Anglosphere ex-US,
United States,4.0,fitted,True,1.0,Continental Europe,
United States,4.0,fitted,True,1.0,Hindu,
United States,4.0,fitted,True,1.0,Islamic,
United States,4.0,fitted,True,1.0,Japanese,
United States,4.0,fitted,True,1.0,Other Civilizations,
United States,4.0,fitted,True,1.0,Other Western,
United States,4.0,fitted,True,1.0,Sinic,
United States,4.0,fitted,True,1.0,United States,
United States,8.0,fitted,True,1.0,Anglosphere ex-US,
United States,8.0,fitted,True,1.0,Continental Europe,
United States,8.0,fitted,True,1.0,Hindu,
United States,8.0,fitted,True,1.0,Islamic,
United States,8.0,fitted,True,1.0,Japanese,
United States,8.0,fitted,True,1.0,Other Civilizations,
United States,8.0,fitted,True,1.0,Other Western,47.47375944294819
United States,8.0,fitted,True,1.0,Sinic,
United States,8.0,fitted,True,1.0,United States,
United States,0.0,fitted,True,2.0,Anglosphere ex-US,
United States,0.0,fitted,True,2.0,Continental Europe,
United States,0.0,fitted,True,2.0,Hindu,
United States,0.0,fitted,True,2.0,Islamic,
United States,0.0,fitted,True,2.0,Japanese,
United States,0.0,fitted,True,2.0,Other Civilizations,
United States,0.0,fitted,True,2.0,Other Western,
United States,0.0,fitted,True,2.0,Sinic,
United States,0.0,fitted,True,2.0,United States,
United States,0.5,fitted,True,2.0,Anglosphere ex-US,
United States,0.5,fitted,True,2.0,Continental Europe,
United States,0.5,fitted,True,2.0,Hindu,
United States,0.5,fitted,True,2.0,Islamic,
United States,0.5,fitted,True,2.0,Japanese,
United States,0.5,fitted,True,2.0,Other Civilizations,
United States,0.5,fitted,True,2.0,Other Western,
United States,0.5,fitted,True,2.0,Sinic,
United States,0.5,fitted,True,2.0,United States,
United States,1.0,fitted,True,2.0,Anglosphere ex-US,
United States,1.0,fitted,True,2.0,Continental Europe,
United States,1.0,fitted,True,2.0,Hindu,
United States,1.0,fitted,True,2.0,Islamic,
United States,1.0,fitted,True,2.0,Japanese,
United States,1.0,fitted,True,2.0,Other Civilizations,
United States,1.0,fitted,True,2.0,Other Western,
United States,1.0,fitted,True,2.0,Sinic,
United States,1.0,fitted,True,2.0,United States,
United States,2.0,fitted,True,2.0,Anglosphere ex-US,
United States,2.0,fitted,True,2.0,Continental Europe,
United States,2.0,fitted,True,2.0,Hindu,
United States,2.0,fitted,True,2.0,Islamic,
United States,2.0,fitted,True,2.0,Japanese,
United States,2.0,fitted,True,2.0,Other Civilizations,
United States,2.0,fitted,True,2.0,Other Western,
United States,2.0,fitted,True,2.0,Sinic,
United States,2.0,fitted,True,2.0,United States,
United States,4.0,fitted,True,2.0,Anglosphere ex-US,
United States,4.0,fitted,True,2.0,Continental Europe,
United States,4.0,fitted,True,2.0,Hindu,
United States,4.0,fitted,True,2.0,Islamic,
United States,4.0,fitted,True,2.0,Japanese,
United States,4.0,fitted,True,2.0,Other Civilizations,
United States,4.0,fitted,True,2.0,Other Western,94.24466610862875
United States,4.0,fitted,True,2.0,Sinic,
United States,4.0,fitted,True,2.0,United States,
United States,8.0,fitted,True,2.0,Anglosphere ex-US,
United States,8.0,fitted,True,2.0,Continental Europe,
United States,8.0,fitted,True,2.0,Hindu,
United States,8.0,fitted,True,2.0,Islamic,
United States,8.0,fitted,True,2.0,Japanese,
United States,8.0,fitted,True,2.0,Other Civilizations,
United States,8.0,fitted,True,2.0,Other Western,44.58799951912788
United States,8.0,fitted,True,2.0,Sinic,
United States,8.0,fitted,True,2.0,United States,
United States,0.0,fitted,False,0.0,Anglosphere ex-US,
United States,0.0,fitted,False,0.0,Continental Europe,
United States,0.0,fitted,False,0.0,Hindu,
United States,0.0,fitted,False,0.0,Islamic,
United States,0.0,fitted,False,0.0,Japanese,
