focal,phi,exogenous_share,host_recruits,gamma,group,collapse_year
Sinic,0.0,fitted,True,0.0,Anglosphere ex-US,
Sinic,0.0,fitted,True,0.0,Continental Europe,
Sinic,0.0,fitted,True,0.0,Hindu,
Sinic,0.0,fitted,True,0.0,Islamic,
Sinic,0.0,fitted,True,0.0,Japanese,
Sinic,0.0,fitted,True,0.0,Other Civilizations,
Sinic,0.0,fitted,True,0.0,Other Western,
Sinic,0.0,fitted,True,0.0,Sinic,
Sinic,0.0,fitted,True,0.0,United States,
Sinic,0.5,fitted,True,0.0,Anglosphere ex-US,
Sinic,0.5,fitted,True,0.0,Continental Europe,
Sinic,0.5,fitted,True,0.0,Hindu,
Sinic,0.5,fitted,True,0.0,Islamic,
Sinic,0.5,fitted,True,0.0,Japanese,
Sinic,0.5,fitted,True,0.0,Other Civilizations,
Sinic,0.5,fitted,True,0.0,Other Western,
Sinic,0.5,fitted,True,0.0,Sinic,
Sinic,0.5,fitted,True,0.0,United States,
Sinic,1.0,fitted,True,0.0,Anglosphere ex-US,
Sinic,1.0,fitted,True,0.0,Continental Europe,
Sinic,1.0,fitted,True,0.0,Hindu,
Sinic,1.0,fitted,True,0.0,Islamic,
Sinic,1.0,fitted,True,0.0,Japanese,
Sinic,1.0,fitted,True,0.0,Other Civilizations,
Sinic,1.0,fitted,True,0.0,Other Western,
Sinic,1.0,fitted,True,0.0,Sinic,
Sinic,1.0,fitted,True,0.0,United States,
Sinic,2.0,fitted,True,0.0,Anglosphere ex-US,
Sinic,2.0,fitted,True,0.0,Continental Europe,
Sinic,2.0,fitted,True,0.0,Hindu,
Sinic,2.0,fitted,True,0.0,Islamic,
Sinic,2.0,fitted,True,0.0,Japanese,
Sinic,2.0,fitted,True,0.0,Other Civilizations,
Sinic,2.0,fitted,True,0.0,Other Western,
Sinic,2.0,fitted,True,0.0,Sinic,
Sinic,2.0,fitted,True,0.0,United States,
Sinic,4.0,fitted,True,0.0,Anglosphere ex-US,
Sinic,4.0,fitted,True,0.0,Continental Europe,
Sinic,4.0,fitted,True,0.0,Hindu,
Sinic,4.0,fitted,True,0.0,Islamic,
Sinic,4.0,fitted,True,0.0,Japanese,
Sinic,4.0,fitted,True,0.0,Other Civilizations,
Sinic,4.0,fitted,True,0.0,Other Western,
Sinic,4.0,fitted,True,0.0,Sinic,
Sinic,4.0,fitted,True,0.0,United States,
Sinic,8.0,fitted,True,0.0,Anglosphere ex-US,
Sinic,8.0,fitted,True,0.0,Continental Europe,
Sinic,8.0,fitted,True,0.0,Hindu,
Sinic,8.0,fitted,True,0.0,Islamic,
Sinic,8.0,fitted,True,0.0,Japanese,
Sinic,8.0,fitted,True,0.0,Other Civilizations,
Sinic,8.0,fitted,True,0.0,Other Western,50.14193267755193
Sinic,8.0,fitted,True,0.0,Sinic,
Sinic,8.0,fitted,True,0.0,United States,
Sinic,0.0,fitted,True,1.0,Anglosphere ex-US,
Sinic,0.0,fitted,True,1.0,Continental Europe,
Sinic,0.0,fitted,True,1.0,Hindu,
Sinic,0.0,fitted,True,1.0,Islamic,
Sinic,0.0,fitted,True,1.0,Japanese,
Sinic,0.0,fitted,True,1.0,Other Civilizations,
Sinic,0.0,fitted,True,1.0,Other Western,
Sinic,0.0,fitted,True,1.0,Sinic,
Sinic,0.0,fitted,True,1.0,United States,
Sinic,0.5,fitted,True,1.0,Anglosphere ex-US,
Sinic,0.5,fitted,True,1.0,Continental Europe,
Sinic,0.5,fitted,True,1.0,Hindu,
Sinic,0.5,fitted,True,1.0,Islamic,
Sinic,0.5,fitted,True,1.0,Japanese,
Sinic,0.5,fitted,True,1.0,Other Civilizations,
Sinic,0.5,fitted,True,1.0,Other Western,
Sinic,0.5,fitted,True,1.0,Sinic,
Sinic,0.5,fitted,True,1.0,United States,
Sinic,1.0,fitted,True,1.0,Anglosphere ex-US,
Sinic,1.0,fitted,True,1.0,Continental Europe,
Sinic,1.0,fitted,True,1.0,Hindu,
Sinic,1.0,fitted,True,1.0,Islamic,
Sinic,1.0,fitted,True,1.0,Japanese,
Sinic,1.0,fitted,True,1.0,Other Civilizations,
Sinic,1.0,fitted,True,1.0,Other Western,
Sinic,1.0,fitted,True,1.0,Sinic,
Sinic,1.0,fitted,True,1.0,United States,
Sinic,2.0,fitted,True,1.0,Anglosphere ex-US,
Sinic,2.0,fitted,True,1.0,Continental Europe,
Sinic,2.0,fitted,True,1.0,Hindu,
Sinic,2.0,fitted,True,1.0,Islamic,
Sinic,2.0,fitted,True,1.0,Japanese,
Sinic,2.0,fitted,True,1.0,Other Civilizations,
Sinic,2.0,fitted,True,1.0,Other Western,
Sinic,2.0,fitted,True,1.0,Sinic,
Sinic,2.0,fitted,True,1.0,United States,
Sinic,4.0,fitted,True,1.0,Anglosphere ex-US,
Sinic,4.0,fitted,True,1.0,Continental Europe,
Sinic,4.0,fitted,True,1.0,Hindu,
Sinic,4.0,fitted,True,1.0,Islamic,
Sinic,4.0,fitted,True,1.0,Japanese,
Sinic,4.0,fitted,True,1.0,Other Civilizations,
Sinic,4.0,fitted,True,1.0,Other Western,78.81604198258681
Sinic,4.0,fitted,True,1.0,Sinic,
Sinic,4.0,fitted,True,1.0,United States,
Sinic,8.0,fitted,True,1.0,Anglosphere ex-US,
Sinic,8.0,fitted,True,1.0,Continental Europe,
Sinic,8.0,fitted,True,1.0,Hindu,
Sinic,8.0,fitted,True,1.0,Islamic,
Sinic,8.0,fitted,True,1.0,Japanese,
Sinic,8.0,fitted,True,1.0,Other Civilizations,
Sinic,8.0,fitted,True,1.0,Other Western,41.20331073001044
Sinic,8.0,fitted,True,1.0,Sinic,
Sinic,8.0,fitted,True,1.0,United States,
Sinic,0.0,fitted,True,2.0,Anglosphere ex-US,
Sinic,0.0,fitted,True,2.0,Continental Europe,
Sinic,0.0,fitted,True,2.0,Hindu,
Sinic,0.0,fitted,True,2.0,Islamic,
Sinic,0.0,fitted,True,2.0,Japanese,
Sinic,0.0,fitted,True,2.0,Other Civilizations,
Sinic,0.0,fitted,True,2.0,Other Western,
Sinic,0.0,fitted,True,2.0,Sinic,
Sinic,0.0,fitted,True,2.0,United States,
Sinic,0.5,fitted,True,2.0,Anglosphere ex-US,
Sinic,0.5,fitted,True,2.0,Continental Europe,
Sinic,0.5,fitted,True,2.0,Hindu,
Sinic,0.5,fitted,True,2.0,Islamic,
Sinic,0.5,fitted,True,2.0,Japanese,
Sinic,0.5,fitted,True,2.0,Other Civilizations,
Sinic,0.5,fitted,True,2.0,Other Western,
Sinic,0.5,fitted,True,2.0,Sinic,
Sinic,0.5,fitted,True,2.0,United States,
Sinic,1.0,fitted,True,2.0,Anglosphere ex-US,
Sinic,1.0,fitted,True,2.0,Continental Europe,
Sinic,1.0,fitted,True,2.0,Hindu,
Sinic,1.0,fitted,True,2.0,Islamic,
Sinic,1.0,fitted,True,2.0,Japanese,
Sinic,1.0,fitted,True,2.0,Other Civilizations,
Sinic,1.0,fitted,True,2.0,Other Western,
Sinic,1.0,fitted,True,2.0,Sinic,
Sinic,1.0,fitted,True,2.0,United States,
Sinic,2.0,fitted,True,2.0,Anglosphere ex-US,
Sinic,2.0,fitted,True,2.0,Continental Europe,
Sinic,2.0,fitted,True,2.0,Hindu,
Sinic,2.0,fitted,True,2.0,Islamic,
Sinic,2.0,fitted,True,2.0,Japanese,
Sinic,2.0,fitted,True,2.0,Other Civilizations,
Sinic,2.0,fitted,True,2.0,Other Western,
Sinic,2.0,fitted,True,2.0,Sinic,
Sinic,2.0,fitted,True,2.0,United States,
Sinic,4.0,fitted,True,2.0,Anglosphere ex-US,
Sinic,4.0,fitted,True,2.0,Continental Europe,
Sinic,4.0,fitted,True,2.0,Hindu,
Sinic,4.0,fitted,True,2.0,Islamic,
