group,Anglosphere ex-US,Continental Europe,Hindu,Islamic,Japanese,Other Civilizations,Other Western,Sinic,United States
Anglosphere ex-US,0.0,0.23112473618535578,0.02976291343798623,0.1262304931215627,0.017685209434165728,0.049851339485157055,0.006839924206245282,0.31633108930414555,0.22217429482538167
Continental Europe,0.2869016955580488,0.0,0.0254728758118294,0.11243145868558696,0.02751133795806141,0.12562615552360035,0.011298452981053364,0.1664744086089471,0.24428361487287265
Hindu,0.15385399673735725,0.15477161500815662,0.0,0.10144779771615008,0.017128874388254486,0.03150489396411093,0.006933115823817292,0.11062398042414355,0.4237357259380098
Islamic,0.275473969304845,0.272284080650015,0.05320493529942823,0.0,0.016250376166114956,0.036051760457417995,0.0024074631357207344,0.10081251880830575,0.24351489617815228
Japanese,0.083072459341834,0.11124685042376117,0.028327097808658473,0.13064060471863786,0.0,0.05016415973123616,0.0022906009009696876,0.4281133083912346,0.166144918683668
Other Civilizations,0.16037410780211667,0.4239232094511445,0.022298793994585283,0.0616785626384445,0.025596849618508492,0.0,0.0038887521535810976,0.1116908688161457,0.1905488555254738
Other Western,0.15268225584594222,0.16973865199449795,0.012929848693259973,0.003576341127922971,0.006602475928473178,0.04869325997248968,0.0,0.05281980742778542,0.5529573590096286
Sinic,0.22800141531259355,0.11529354127541439,0.02207343294956588,0.05944312892953376,0.03513785689012275,0.031953403554612014,0.004436460629814104,0.0,0.5036607604583435
United States,0.1528540989121902,0.1895083720809862,0.05501160272944505,0.05974758671854107,0.031849276662554674,0.03631783714771267,0.02018616126499944,0.4545250644835707,0.0
