focal,exogenous_share,host_recruits,gamma,phi,peak_relative_hosted_pool,peak_year,terminal_relative_hosted_pool,peak_relative_focal_hits,peak_year_focal_hits,terminal_relative_focal_hits,share_start,share_terminal,n_viable_start,n_viable_terminal,n_collapsed,first_collapse_year,effective_regions_start,effective_regions_terminal,min_T_over_M_terminal,field_PI_terminal_relative,field_hits_terminal_relative,field_researchers_terminal_relative,peak_relative_field_hits,peak_year_field_hits,year_field_hits_below_baseline,tau_years
Sinic,fitted,True,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.30641964169612457,0.30641964169612457,9,9,0,,5.245475750396971,5.245475750396971,3.012861963150507,1.0,1.0,1.0,1.0,0.0,,24.313891490486423
Sinic,fitted,True,0.0,0.5,1.2196325391938643,100.0,1.2196325391938643,1.2967480520441317,100.0,1.2967480520441317,0.3064196416961247,0.37165620451985587,9,9,0,,5.245475750396972,4.793694046674247,2.661062094502141,1.0168841646257807,0.99745101062646,1.0055512624726073,1.0084887969841203,12.0,41.0,24.313891490486423
Sinic,fitted,True,0.0,1.0,1.429499805896326,100.0,1.429499805896326,1.565651123282749,100.0,1.565651123282749,0.30641964169612457,0.4339081342695288,9,9,0,,5.245475750396971,4.300349431808932,2.312725228843097,1.0300126311468198,0.9923213453103669,1.0094920646390664,1.0161560560796354,12.0,37.0,24.313891490486423
Sinic,fitted,True,0.0,2.0,1.7664837960991462,100.0,1.7664837960991462,1.9765377413984597,100.0,1.9765377413984597,0.3064196416961247,0.5335133573026131,9,9,0,,5.245475750396972,3.465513900997321,1.7711740657067538,1.0478036681675562,0.9812585449492881,1.0145675351023855,1.0291425658400284,11.0,33.5,24.313891490486423
Sinic,fitted,True,0.0,4.0,2.1814173543339272,100.0,2.1814173543339272,2.45261347185211,100.0,2.45261347185211,0.3064196416961247,0.655557045875312,9,9,0,,5.245475750396972,2.505109275719264,1.1610873871069292,1.0658109114448442,0.9643198417074649,1.0196353289319178,1.0482221886011955,10.5,30.0,24.313891490486423
Sinic,fitted,True,0.0,8.0,2.552859422718107,100.0,2.552859422718107,2.850506499986296,100.0,2.850506499986296,0.30641964169612457,0.765268791967729,9,8,1,50.14193267755193,5.245475750396971,1.7945292818402618,0.49772071541607216,1.0775764375166148,0.9448618620857726,1.022184986269301,1.071010461590368,9.0,27.5,24.313891490486423
Sinic,fitted,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.30641964169612457,0.30641964169612457,9,9,0,,5.245475750396971,5.245475750396971,3.012861963150507,1.0,1.0,1.0,1.0,0.0,,24.313891490486423
Sinic,fitted,True,1.0,0.5,1.2065529117820808,100.0,1.2065529117820808,1.2362439920403874,89.5,1.235977868066996,0.3064196416961247,0.3732649444587771,9,9,0,,5.245475750396972,4.778148497835962,2.593399073558262,0.9789298892347663,0.9471428014391766,0.9904801305457482,1.0025768269550523,7.0,13.5,24.313891490486423
Sinic,fitted,True,1.0,1.0,1.401088884386055,100.0,1.401088884386055,1.4247807614257528,63.0,1.4130062038144255,0.30641964169612457,0.4394124771250972,9,9,0,,5.245475750396971,4.255873058983842,2.1727517517481165,0.9469225738215062,0.8833044431116779,0.977034509231229,1.004766214928365,6.5,12.5,24.313891490486423
Sinic,fitted,True,1.0,2.0,1.6951550883202218,100.0,1.6951550883202218,1.6978331149657635,35.0,1.5853341785922228,0.3064196416961247,0.5480910654043265,9,9,0,,5.245475750396972,3.3607729038130123,1.5265033598983933,0.8741378311585204,0.7615585383426269,0.9477053131659106,1.0082512986837218,6.5,12.0,24.313891490486423
Sinic,fitted,True,1.0,4.0,2.0197674810643003,74.5,1.9894404172075544,2.030161931343537,25.0,1.5941748660406527,0.3064196416961247,0.677952705836685,9,8,1,78.81604198258681,5.245475750396972,2.3647840383966594,0.7118729051906272,0.7551966747011241,0.5987040791531316,0.8991831060902613,1.0128497140031552,5.5,10.5,24.313891490486423
Sinic,fitted,True,1.0,8.0,2.289073717628553,58.5,2.162837020693994,2.328234604237563,20.0,1.4626849359304661,0.30641964169612457,0.7812012732026962,9,8,1,41.20331073001044,5.245475750396971,1.702249307369653,0.34828062640982366,0.6358464405466547,0.4672079228079026,0.8483546656435226,1.0173683123712438,5.0,9.5,24.313891490486423
Sinic,fitted,True,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.30641964169612457,0.30641964169612457,9,9,0,,5.245475750396971,5.245475750396971,3.012861963150507,1.0,1.0,1.0,1.0,0.0,,24.313891490486423
Sinic,fitted,True,2.0,0.5,1.19277875596471,100.0,1.19277875596471,1.1939304598563454,43.0,1.1719137852663093,0.30641964169612457,0.37497110011570356,9,9,0,,5.245475750396971,4.761541313569382,2.522363706479897,0.9390561882317748,0.8944707740671526,0.9747173553179898,1.0002178532781691,2.5,4.5,24.313891490486423
Sinic,fitted,True,2.0,1.0,1.371467847116978,89.0,1.3698582053369504,1.3527929700306913,32.0,1.2497622581739072,0.30641964169612457,0.4451354552573438,9,9,0,,5.245475750396971,4.209455225230582,2.0276330819020956,0.8593895506079333,0.7701996632507123,0.9429746732063298,1.0003910097540956,2.5,4.5,24.313891490486423
Sinic,fitted,True,2.0,2.0,1.6444601560549246,71.5,1.6117011828324033,1.5805231505022133,25.0,1.1813809951766565,0.3064196416961247,0.5615591960167838,9,9,0,,5.245475750396972,3.2682738693599642,1.2954194889714896,0.6983268620999015,0.5505654895474283,0.8794387171783843,1.000612730755447,2.5,4.0,24.313891490486423
Sinic,fitted,True,2.0,4.0,1.9532619555753092,56.5,1.7882514679440438,1.823439776050516,20.0,0.8803634530721437,0.3064196416961247,0.6928599343624411,9,8,1,61.36250306929244,5.245475750396972,2.294632660752746,0.5254764841187788,0.4879679739599791,0.31980035503986487,0.7908602401352632,1.0008591707858656,2.0,3.5,24.313891490486423
Sinic,fitted,True,2.0,8.0,2.203450359484154,45.5,1.8502620823586449,2.0005093180180014,16.0,0.6078590508411228,0.30641964169612457,0.7887105654869518,9,8,1,36.927465668030464,5.245475750396971,1.6974027257468105,0.2605985957898552,0.3360292153512989,0.18937052962854284,0.7188399257339999,1.0009710030871264,1.5,2.5,24.313891490486423
Sinic,fitted,False,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.30641964169612457,0.30641964169612457,9,9,0,,5.245475750396971,5.245475750396971,3.012861963150507,1.0,1.0,1.0,1.0,0.0,,24.313891490486423
Sinic,fitted,False,0.0,0.5,1.1412922179528058,79.0,1.1409143774583619,1.2203787776720083,39.5,1.2144281564511323,0.3064196416961247,0.3558345202320907,9,9,0,,5.245475750396972,5.014223724765196,2.6950650473922404,0.998809841694354,0.9783091706590135,0.9824751531097237,1.008280283108825,11.5,28.0,24.313891490486423
Sinic,fitted,False,0.0,1.0,1.2724496580266031,71.5,1.2702375326723598,1.422646693698838,35.5,1.3996103529830959,0.30641964169612457,0.404789722890916,9,9,0,,5.245475750396971,4.746235433348275,2.369215597752296,0.9925725977110534,0.9521560936247372,0.9615504238859437,1.015779748510287,11.5,27.0,24.313891490486423
Sinic,fitted,False,0.0,2.0,1.48206789386686,62.0,1.4705107811322493,1.7519527094755099,31.0,1.66951155123391,0.3064196416961247,0.48835679586222247,9,9,0,,5.245475750396972,4.219026146201319,1.848713045706062,0.9759606512668902,0.9035202427296142,0.9226725019138584,1.0285397091786794,11.0,25.5,24.313891490486423
