group,n,p_abroad,alpha,p_return,beta,p_hit_domestic,p_hit_abroad,h_D,h_A,p_pi_domestic,p_pi_abroad,p_D,p_A,p_dropout,d
Anglosphere ex-US,64122,0.25315804248151963,0.04865199907881818,0.1999014353477484,0.022306656012966237,0.5078619307147779,0.7084950409659336,0.0886244132610387,0.1540762693288373,0.6678179351177994,0.8081036431614642,0.07346870214803235,0.11003471616660161,0.5599326284270609,0.04560128882731753
Continental Europe,168911,0.1542824327604478,0.0279291100322499,0.30184190330007676,0.035933148365859105,0.503048631091137,0.7084036838066001,0.08740787763289747,0.1540412584288036,0.6672047424889718,0.7991441417041331,0.07334758917588839,0.10700042872707681,0.5618757807366009,0.04584728505461976
Hindu,28069,0.1528020235847376,0.02764167873979284,0.3187223128934484,0.038390931988027864,0.3924726661059714,0.6318489158311961,0.06229662441759468,0.12488686987131405,0.7347048108861031,0.7568265682656826,0.08844817509909757,0.09421345426932098,0.39267519327371836,0.027705784453642756
Islamic,51043,0.1592970632603883,0.028922131048064337,0.3298487270938384,0.040031425050948546,0.3668903803131991,0.5769278071577911,0.057140186945240985,0.10752096654616188,0.7468877032520326,0.73374547004903,0.09158654286477816,0.08819523236653805,0.4180788746742943,0.03007921554145554
Japanese,32007,0.13800106226762895,0.024754580111281538,0.2531129726058411,0.029199095767616846,0.27325117796303006,0.5379216662893367,0.03989962202916035,0.09649796330076614,0.6170579652473803,0.797979797979798,0.06398603854599534,0.10654318714299772,0.6298934608054488,0.05521902457131874
Other Civilizations,50240,0.18184713375796177,0.033453593613448344,0.29597197898423816,0.03510005507122165,0.30388769949396655,0.5075525394045534,0.045282248463084346,0.08854551829560073,0.6717636698422864,0.7582488678024585,0.07426250940265135,0.09462573457794013,0.5288415605095542,0.04180880084371546
Other Western,4397,0.32158289743006596,0.0646854266708447,0.33946251768033947,0.041504474496497815,0.5256453234998324,0.7623762376237624,0.09322046894662968,0.17943854298766293,0.5956632653061225,0.8070500927643784,0.0603470599633108,0.10949213787689695,0.5494655446895611,0.044292822581043695
Sinic,190051,0.12605037595171822,0.022456174363239,0.47324261145433294,0.06410194401960723,0.2858002950118908,0.5955919185172817,0.04207453352831894,0.11316388448828402,0.7088687592163472,0.7843425848051584,0.0822633925951051,0.10225862640480383,0.45449905551667713,0.03366953444840466
United States,134807,0.20340190049478143,0.037901752973233026,0.19576951130561634,0.021789696387440296,0.5277454440481623,0.6673595915390226,0.09377950389310256,0.1375820665806193,0.6620612990312847,0.7947428821247062,0.07232492233820456,0.10555566243808755,0.5625672257375358,0.045935006767539276
