group,n,p_abroad,alpha,p_return,beta,p_hit_domestic,p_hit_abroad,h_D,h_A,p_pi_domestic,p_pi_abroad,p_D,p_A,p_dropout,d,pi_definition
Continental Europe,168087,0.1547412946866801,0.02801956641091911,0.30303729334871204,0.03610451039593743,0.5098080618256298,0.7215686274509804,0.0891197465451666,0.15981531059921456,0.5436409321846698,0.7144607843137255,0.05229818063202096,0.08355305836771379,0.5608881115136803,0.04572218762509784,corresponding
Hindu,28462,0.16175953903450213,0.029413104380061922,0.3299304952215465,0.04004840474575243,0.39567440690753625,0.6387923544743701,0.06295707941815752,0.12726693237493458,0.5492584745762712,0.6310778646718803,0.05312253800565012,0.06646188318263947,0.39396388166678376,0.027823777080339483,corresponding
Islamic,51049,0.1648416227546083,0.030024936810566078,0.3271538918597742,0.03962996830977711,0.3773983205892011,0.5784907902554961,0.05923219509890693,0.10798367572276324,0.5428837787445618,0.6569433032046015,0.052187063156364476,0.07131144583208279,0.4169719289310271,0.029973640195688586,corresponding
Japanese,33411,0.1522851755409895,0.02753925733715872,0.24744496855345913,0.028441302736987674,0.2694982876107757,0.5117924528301887,0.03925574797460077,0.0896256463767299,0.45093672212760383,0.6705069124423964,0.03997099944345698,0.07398685571336899,0.6278171859567208,0.05490830853422069,corresponding
Other Civilizations,49482,0.17335596782668444,0.03173284667248726,0.3043833061319655,0.03630220505984111,0.31060531977312733,0.5250641175099091,0.04649434670148833,0.09307039585088062,0.5138134592680047,0.6771758436944938,0.04807722854840049,0.07536026275910644,0.5280303948910715,0.04171323839147299,corresponding
Other Western,4227,0.2969008753252898,0.05873233574573183,0.33784860557768925,0.041265076776903886,0.5296096904441454,0.8119521912350598,0.09426876904432739,0.20855288343188952,0.4815756035578145,0.6673209028459274,0.043800411703854764,0.07330614670363057,0.5497989117577478,0.04433381234006544,corresponding
Sinic,183191,0.11423596137364826,0.020218240111518394,0.4844937162517322,0.06626086604386376,0.29797737021150716,0.644143928895685,0.04422414827951056,0.12914877712913433,0.5587061281048996,0.7071958456973294,0.054535916451664425,0.0818764227240008,0.4469870244717262,0.03290971446778526,corresponding
United States,135618,0.2126266424810866,0.039843019904902154,0.19666389235677625,0.02190082753743009,0.5335356146166957,0.667464280760161,0.09532153242442448,0.13762163412363854,0.461086147581268,0.6361510884813217,0.04121347227697818,0.06739851312725952,0.5609874795381145,0.04573473873559739,corresponding
Anglosphere ex-US,65646,0.27386284008165007,0.05333764070952419,0.19712982534208476,0.021960421592857573,0.5152513216413527,0.6915118478139949,0.09051542391221441,0.1470003484962971,0.47213061357436586,0.6476029601029601,0.042594046593572486,0.06952862764492473,0.5570027115132681,0.04523265053380757,recurrent_last
Continental Europe,168087,0.1547412946866801,0.02801956641091911,0.30303729334871204,0.03610451039593743,0.5098080618256298,0.7215686274509804,0.0891197465451666,0.15981531059921456,0.48069913850231943,0.6474850809889173,0.0436848596936905,0.06950785037123301,0.5608881115136803,0.04572218762509784,recurrent_last
Hindu,28462,0.16175953903450213,0.029413104380061922,0.3299304952215465,0.04004840474575243,0.39567440690753625,0.6387923544743701,0.06295707941815752,0.12726693237493458,0.5363347457627119,0.5882352941176471,0.05123838820156159,0.05914383877361419,0.39396388166678376,0.027823777080339483,recurrent_last
Islamic,51049,0.1648416227546083,0.030024936810566078,0.3271538918597742,0.03962996830977711,0.3773983205892011,0.5784907902554961,0.05923219509890693,0.10798367572276324,0.5352392790553139,0.5509449465899754,0.05108154405853408,0.053370879693324505,0.4169719289310271,0.029973640195688586,recurrent_last
Japanese,33411,0.1522851755409895,0.02753925733715872,0.24744496855345913,0.028441302736987674,0.2694982876107757,0.5117924528301887,0.03925574797460077,0.0896256463767299,0.4595833879208699,0.6466973886328725,0.041028968268102387,0.06934078142863223,0.6278171859567208,0.05490830853422069,recurrent_last
Other Civilizations,49482,0.17335596782668444,0.03173284667248726,0.3043833061319655,0.03630220505984111,0.31060531977312733,0.5250641175099091,0.04649434670148833,0.09307039585088062,0.47052341597796143,0.5852575488454707,0.04239167333678336,0.05866708756910846,0.5280303948910715,0.04171323839147299,recurrent_last
Other Western,4227,0.2969008753252898,0.05873233574573183,0.33784860557768925,0.041265076776903886,0.5296096904441454,0.8119521912350598,0.09426876904432739,0.20855288343188952,0.44027954256670904,0.6849852796859667,0.03869688096073555,0.07693241817468381,0.5497989117577478,0.04433381234006544,recurrent_last
Sinic,183191,0.11423596137364826,0.020218240111518394,0.4844937162517322,0.06626086604386376,0.29797737021150716,0.644143928895685,0.04422414827951056,0.12914877712913433,0.47943165601538745,0.6240356083086054,0.04352238195660753,0.06521412686273566,0.4469870244717262,0.03290971446778526,recurrent_last
United States,135618,0.2126266424810866,0.039843019904902154,0.19666389235677625,0.02190082753743009,0.5335356146166957,0.667464280760161,0.09532153242442448,0.13762163412363854,0.4598925788106438,0.6197329453940874,0.041065989188221894,0.06445658555728521,0.5609874795381145,0.04573473873559739,recurrent_last
