group,n,p_abroad,alpha,p_return,beta,p_hit_domestic,p_hit_abroad,h_D,h_A,p_pi_domestic,p_pi_abroad,p_D,p_A,p_dropout,d,pi_definition
Anglosphere ex-US,65646,0.27386284008165007,0.05333764070952419,0.19712982534208476,0.021960421592857573,0.5152513216413527,0.6915118478139949,0.09051542391221441,0.1470003484962971,0.6673181059403118,0.7962516087516087,0.07336850458006773,0.10604237159654659,0.5570027115132681,0.04523265053380757,first_last
Continental Europe,168087,0.1547412946866801,0.02801956641091911,0.30303729334871204,0.03610451039593743,0.5098080618256298,0.7215686274509804,0.0891197465451666,0.15981531059921456,0.6656588248288049,0.7971014492753623,0.07303864293902454,0.10632621087346335,0.5608881115136803,0.04572218762509784,first_last
Hindu,28462,0.16175953903450213,0.029413104380061922,0.3299304952215465,0.04004840474575243,0.39567440690753625,0.6387923544743701,0.06295707941815752,0.12726693237493458,0.7342161016949152,0.7619857191431486,0.08832567126536016,0.09564512407992552,0.39396388166678376,0.027823777080339483,first_last
Islamic,51049,0.1648416227546083,0.030024936810566078,0.3271538918597742,0.03962996830977711,0.3773983205892011,0.5784907902554961,0.05923219509890693,0.10798367572276324,0.7444996892479802,0.733771569433032,0.09096084839564521,0.08820266878401278,0.4169719289310271,0.029973640195688586,first_last
Japanese,33411,0.1522851755409895,0.02753925733715872,0.24744496855345913,0.028441302736987674,0.2694982876107757,0.5117924528301887,0.03925574797460077,0.0896256463767299,0.6179745840429713,0.7884024577572964,0.06414581651900077,0.10346824742717967,0.6278171859567208,0.05490830853422069,first_last
Other Civilizations,49482,0.17335596782668444,0.03173284667248726,0.3043833061319655,0.03630220505984111,0.31060531977312733,0.5250641175099091,0.04649434670148833,0.09307039585088062,0.6721763085399449,0.7646536412078153,0.07434644532557447,0.09641319882521376,0.5280303948910715,0.04171323839147299,first_last
Other Western,4227,0.2969008753252898,0.05873233574573183,0.33784860557768925,0.041265076776903886,0.5296096904441454,0.8119521912350598,0.09426876904432739,0.20855288343188952,0.5965692503176621,0.8076545632973503,0.06049644713851347,0.1096889392951118,0.5497989117577478,0.04433381234006544,first_last
Sinic,183191,0.11423596137364826,0.020218240111518394,0.4844937162517322,0.06626086604386376,0.29797737021150716,0.644143928895685,0.04422414827951056,0.12914877712913433,0.7065003826187669,0.7922106824925816,0.0817233227984675,0.10473480096776214,0.4469870244717262,0.03290971446778526,first_last
United States,135618,0.2126266424810866,0.039843019904902154,0.19666389235677625,0.02190082753743009,0.5335356146166957,0.667464280760161,0.09532153242442448,0.13762163412363854,0.6619743031664678,0.7854730607367382,0.07230776929852945,0.10261211362397046,0.5609874795381145,0.04573473873559739,first_last
Anglosphere ex-US,65646,0.27386284008165007,0.05333764070952419,0.19712982534208476,0.021960421592857573,0.5152513216413527,0.6915118478139949,0.09051542391221441,0.1470003484962971,0.515044175725744,0.6966698841698842,0.04824633001831224,0.07952195273839564,0.5570027115132681,0.04523265053380757,corresponding
