pi_definition,group,n_authors,p_pi_domestic,p_D,p_A,r,I0,T_equilibrium,M_threshold,T_over_M,closest_rate,critical_factor,proximity,P_D_equilibrium,P_D_over_k,pi_driven_inflow_share,closest_rate_P,proximity_P,elasticity_T_p_D,elasticity_T_r,rank_T_over_M,rank_proximity
first_last,Anglosphere ex-US,65646,0.6673181059403118,0.07336850458006773,0.10604237159654659,0.06274159718441297,1930.764705882478,68676.59672531787,3183.4920212765956,21.572724626392567,I0,0.04635483080225189,0.9536451691977481,30773.279491231904,50.11934770558942,0.49999999999996775,I0,0.9800476254025853,0.33824178732507815,1.0101010101008698,3,3
first_last,Continental Europe,168087,0.6656588248288049,0.07303864293902454,0.10632621087346335,0.05887168715798907,4943.735294134592,194913.5623531192,3923.499485066941,49.678498262831724,I0,0.020129432953253663,0.9798705670467464,83974.75140866288,107.52208887152737,0.4999999999982863,I0,0.9906995854480204,0.35520353331285603,1.010101010094041,7,7
first_last,Hindu,28462,0.7342161016949152,0.08832567126536016,0.09564512407992552,0.027349261693416338,837.1176470594567,53817.159934023046,2248.8695652173915,23.9307609326914,I0,0.041787221175818,0.958212778824182,30608.41848098979,57.10525836005558,0.49999999999962197,I0,0.9824884777913991,0.21108202967176234,1.010101010099472,4,4
first_last,Islamic,51049,0.7444996892479802,0.09096084839564521,0.08820266878401278,0.03134126388272307,1501.4411764773738,88672.96169826927,2254.7179487179487,39.32774019415131,I0,0.025427344542637027,0.9745726554573629,47906.210230771045,83.89879199784771,0.4999999999977404,I0,0.9880808772547565,0.2199212114924508,1.0101010100918058,6,6
first_last,Japanese,33411,0.6179745840429713,0.06414581651900077,0.10346824742717967,0.10094262666545817,1193.9277613644826,30251.52761640871,1792.6470588235293,16.875339441474917,I0,0.05925806728025135,0.9407419327197486,7642.214248779441,18.024090209385474,0.39251228807290395,I0,0.944518697566256,0.2651503963681924,0.6503257411846707,2,2
first_last,Other Civilizations,49482,0.6721763085399449,0.07434644532557447,0.09641319882521376,0.06464368907381868,1455.3529411792845,59320.84297124685,2068.969696969697,28.671682846844366,I0,0.03487761793898543,0.9651223820610145,22513.457415955058,45.57380043715599,0.49999999999903316,I0,0.9780575683746421,0.31469995363907555,1.0101010100970573,5,5
first_last,Other Western,4227,0.5965692503176621,0.06049644713851347,0.1096889392951118,0.05924240041008488,124.32352941201033,4706.302840237284,1601.2173913043478,2.9392029250965988,I0,0.34022829504605717,0.6597717049539429,2098.5565836450373,5.641281138830745,0.4999999999990122,I0,0.8227353015405172,0.3547308685694059,1.0101010100970154,1,1
first_last,Sinic,183191,0.7065003826187669,0.0817233227984675,0.10473480096776214,0.039508523082758984,5387.970588236379,303425.32909788477,3129.4270557029176,96.95874794235482,I0,0.010313664534885837,0.9896863354651142,136374.89249972624,207.25667553149884,0.4999999999998993,I0,0.9951750649409214,0.2563474346294794,1.0101010101006205,9,9
first_last,United States,135618,0.6619743031664678,0.07230776929852945,0.10261211362397046,0.06147560131307728,3988.7647058863927,147827.0441883474,1844.0637813211845,80.16373711457872,I0,0.012474468331867952,0.9875255316681321,64883.70378948716,182.25759491428977,0.4999999999994937,I0,0.9945132601992785,0.3557908792826953,1.0101010100989691,8,8
corresponding,Anglosphere ex-US,65646,0.515044175725744,0.04824633001831224,0.07952195273839564,0.07411761867388122,1930.7647058874416,68676.59672531785,3183.4920212765956,21.572724626392564,I0,0.04635483080225189,0.9536451691977481,26050.009976341287,42.42672634583271,0.49999999999868233,I0,0.976429951445023,0.4275018303728992,1.0101010100956362,3,3
corresponding,Continental Europe,168087,0.5436409321846698,0.05229818063202096,0.08355305836771379,0.06737674445957964,4943.735294128258,194913.5623531192,3923.499485066941,49.678498262831724,I0,0.020129432953253663,0.9798705670467464,73374.50530980849,93.94943061435146,0.4999999999989268,I0,0.9893559759387489,0.43022278162596905,1.0101010100966092,7,7
corresponding,Hindu,28462,0.5492584745762712,0.05312253800565012,0.06646188318263947,0.03134297263250119,837.1176470633618,53817.15993402303,2248.8695652173915,23.930760932691392,I0,0.041787221175818,0.958212778824182,26708.304182553307,49.82892571371886,0.49999999999728933,I0,0.979931335350369,0.3046740323915695,1.0101010100899543,4,4
