pi_definition,group,n_authors,p_pi_domestic,p_D,p_A,r,I0,T_equilibrium,M_threshold,T_over_M,closest_rate,critical_factor,proximity,P_D_equilibrium,P_D_over_k,pi_driven_inflow_share,closest_rate_P,proximity_P,elasticity_T_p_D,elasticity_T_r,rank_T_over_M,rank_proximity
corresponding,Islamic,51049,0.5428837787445618,0.052187063156364476,0.07131144583208279,0.03654725078490628,1501.4411764723375,88672.9616982693,2254.7179487179487,39.327740194151325,I0,0.025427344542637013,0.9745726554573629,41082.19207254087,71.94779697467753,0.49999999999941763,I0,0.9861010337765873,0.3222236067628923,1.0101010100986159,6,6
corresponding,Japanese,33411,0.45093672212760383,0.03997099944345698,0.07398685571336899,0.16154121890258466,982.6764705891758,30251.527616408704,1792.6470588235293,16.875339441474914,I0,0.059258067280251354,0.9407419327197486,6083.131458726239,14.347008157373205,0.4999999999995214,I0,0.930299056846491,0.5126441623484298,1.0101010100990595,2,2
corresponding,Other Civilizations,49482,0.5138134592680047,0.04807722854840049,0.07536026275910644,0.07609303210483631,1455.3529411769691,59320.84297124684,2068.969696969697,28.671682846844362,I0,0.03487761793898543,0.9651223820610145,19125.968579762666,38.7165355865641,0.4999999999998285,I0,0.9741712427300177,0.4049454758463863,1.01010101010032,5,5
corresponding,Other Western,4227,0.4815756035578145,0.043800411703854764,0.07330614670363057,0.06817516665114454,124.32352941181352,4706.302840237286,1601.2173913043478,2.9392029250965996,I0,0.34022829504605717,0.6597717049539429,1823.589666423335,4.902122759202514,0.49999999999980377,d,0.7275001127081147,0.42696329727077714,1.0101010101001844,1,1
corresponding,Sinic,183191,0.5587061281048996,0.054535916451664425,0.0818764227240008,0.04474040729974149,5387.970588238415,303425.3290978848,3129.4270557029176,96.95874794235483,I0,0.010313664534885834,0.9896863354651142,120427.39244940456,183.02035326657227,0.4999999999997104,I0,0.9945361268178546,0.3367295188830589,1.0101010100997956,9,9
corresponding,United States,135618,0.461086147581268,0.04121347227697818,0.06739851312725952,0.07835484109114077,3988.764705882511,147827.04418834744,1844.0637813211845,80.16373711457874,I0,0.012474468331867952,0.9875255316681321,50906.42327054873,142.99557098468745,0.4999999999999803,I0,0.9930067764119276,0.48198673063392544,1.010101010100918,8,8
recurrent_last,Anglosphere ex-US,65646,0.47213061357436586,0.042594046593572486,0.06952862764492473,0.07860063699286002,1930.7647058877512,68676.59672531782,3183.4920212765956,21.572724626392557,I0,0.04635483080225191,0.9536451691977481,24564.237387189907,40.006901282068256,0.49999999999860195,I0,0.9750043125572383,0.45558152479776737,1.0101010100953403,3,3
recurrent_last,Continental Europe,168087,0.48069913850231943,0.0436848596936905,0.06950785037123301,0.07334151142686096,4943.735294131766,194913.5623531192,3923.499485066941,49.678498262831724,I0,0.020129432953253663,0.9798705670467464,67407.05499413681,86.30864916022638,0.49999999999857214,I0,0.9884136756891704,0.4724875959305762,1.0101010100951908,7,7
recurrent_last,Hindu,28462,0.5363347457627119,0.05123838820156159,0.05914383877361419,0.03176838142644556,837.1176470604321,53817.15993402303,2248.8695652173915,23.930760932691392,I0,0.041787221175818005,0.958212778824182,26350.654627948945,49.1616690819943,0.4999999999990392,I0,0.9796589493669926,0.31377415674715087,1.0101010100970793,4,4
recurrent_last,Islamic,51049,0.5352392790553139,0.05108154405853408,0.053370879693324505,0.037026497200258746,1501.4411764779247,88672.96169826927,2254.7179487179487,39.32774019415131,I0,0.025427344542637027,0.9745726554573629,40550.45143327142,71.01655242254189,0.49999999999755695,I0,0.9859187757517417,0.3321792993243091,1.0101010100910182,6,6
recurrent_last,Japanese,33411,0.4595833879208699,0.041028968268102387,0.06934078142863223,0.15469129800680603,1013.8519601669304,30251.52761640871,1792.6470588235293,16.875339441474917,I0,0.05925806728025135,0.9407419327197486,6150.96642971912,14.506996296507358,0.4841374600329886,I0,0.9310677427938163,0.4783951777425696,0.9473921881212084,2,2
recurrent_last,Other Civilizations,49482,0.47052341597796143,0.04239167333678336,0.05866708756910846,0.08087846226499096,1455.3529411805048,59320.842971246864,2068.969696969697,28.671682846844373,I0,0.034877617938985424,0.9651223820610145,17994.32012448635,36.42574923985091,0.499999999998614,I0,0.9725468927649135,0.43710099754400017,1.0101010100953645,5,5
recurrent_last,Other Western,4227,0.44027954256670904,0.03869688096073555,0.07693241817468381,0.07181990523031345,124.32352941215267,4706.302840237285,1601.2173913043478,2.939202925096599,I0,0.3402282950460572,0.6597717049539428,1731.0455786970713,4.653348329830837,0.49999999999843975,d,0.6803196639796061,0.44693101052997036,1.0101010100946188,1,1
recurrent_last,Sinic,183191,0.47943165601538745,0.04352238195660753,0.06521412686273566,0.04881409653467017,5387.970588259438,303425.32909788477,3129.4270557029176,96.95874794235482,I0,0.010313664534885835,0.9896863354651142,110377.34938685891,167.746731590971,0.49999999999775935,I0,0.9940386319869506,0.38754737014622076,1.0101010100918537,9,9
recurrent_last,United States,135618,0.4598925788106438,0.041065989188221894,0.06445658555728521,0.07856806037011665,3988.764705887961,147827.04418834744,1844.0637813211845,80.16373711457874,I0,0.012474468331867954,0.9875255316681321,50768.27259177027,142.60750728025357,0.499999999999297,I0,0.9929877464442682,0.48368706326159727,1.010101010098142,8,8
