origin_group,year,alpha,beta,h_D,h_A,p_D,p_A,d,I_total,correction_smoothed,correction_capped
United States,2017,0.006454214552256643,0.04035220421579955,0.03949702451988513,0.03461626279576535,0.0350349514336763,0.04815933012070772,0.0459350067675392,6099.4172162954455,True,False
United States,2018,0.006223602990421295,0.041131442810119934,0.03870419098261246,0.03234236807051172,0.02932133352742916,0.03979612676815947,0.0459350067675392,5939.842203316589,True,False
United States,2019,0.005992991428585892,0.04191068140444032,0.03791135744533958,0.030068473345257196,0.023607715621180247,0.03143292341560766,0.0459350067675392,5784.441361359911,True,False
United States,2020,0.005762379866750544,0.042689919998760484,0.037118523908066914,0.027794578620003563,0.01789409771493311,0.023069720063055854,0.0459350067675392,5633.105502254883,True,False
United States,2021,0.005531768304915141,0.04346915859308087,0.03632569037079403,0.02552068389474904,0.012180479808685973,0.014706516710504047,0.0459350067675392,5485.728293980505,True,False
United States,2022,0.0053011567430797935,0.044248397187401256,0.035532856833521365,0.023246789169495408,0.00646686190243706,0.0063433133579522405,0.0459350067675392,5342.206185954122,True,False
United States,2023,0.00507054518124439,0.04502763578172142,0.03474002329624848,0.020972894444240886,0.0007532439961899229,0.0,0.0459350067675392,5202.438336274181,True,False
United States,2024,0.0048399336194090425,0.045806874376041806,0.033947189758975815,0.018698999718986364,0.0,0.0,0.0459350067675392,5066.326540866544,True,False
United States,2025,0.004609322057573695,0.04658611297036219,0.03315435622170293,0.01642510499373273,0.0,0.0,0.0459350067675392,4933.775164484174,True,False
United States,2026,0.004378710495738292,0.047365351564682356,0.032361522684430266,0.01415121026847821,0.0,0.0,0.0459350067675392,4804.691073511411,True,False
Anglosphere ex-US,2017,0.010593079216073692,0.043718059489489924,0.04233424305592126,0.05623624192214027,0.030156396329783064,0.02868570743724419,0.0456012888273175,2995.6896518264334,True,False
Anglosphere ex-US,2018,0.010478407523413474,0.04478533965527376,0.041908923793763764,0.05336193124701616,0.023806084805478633,0.013811757366319455,0.0456012888273175,2925.6925004566942,True,False
Anglosphere ex-US,2019,0.010363735830753229,0.04585261982105804,0.04148360453160638,0.050487620571892045,0.017455773281172426,0.0,0.0456012888273175,2857.330353631704,True,False
Anglosphere ex-US,2020,0.010249064138092984,0.04691989998684187,0.04105828526944899,0.04761330989676882,0.011105461756867996,0.0,0.0456012888273175,2790.565020656407,True,False
