origin_group,year,compartment,count
United States,2017,D,18519.1878202223
United States,2017,A,1592.9912746171128
United States,2017,H_D,15219.435478436912
United States,2017,H_A,2049.0567961955703
United States,2017,P_D,37587.59028035089
United States,2017,P_A,10698.267872073426
Anglosphere ex-US,2017,D,8852.954863917264
Anglosphere ex-US,2017,A,683.8255688097634
Anglosphere ex-US,2017,H_D,6750.797623065819
Anglosphere ex-US,2017,H_A,1214.4934217042187
Anglosphere ex-US,2017,P_D,17234.665538118606
Anglosphere ex-US,2017,P_A,6392.907539826465
Continental Europe,2017,D,27509.951025418268
Continental Europe,2017,A,1315.4340558671365
Continental Europe,2017,H_D,18981.17331205739
Continental Europe,2017,H_A,2021.2878711056574
Continental Europe,2017,P_D,52809.137779204924
Continental Europe,2017,P_A,9968.651719084975
Sinic,2017,D,39377.95322235886
Sinic,2017,A,1913.5077674511056
Sinic,2017,H_D,13560.073430783359
Sinic,2017,H_A,1933.3683875770898
Sinic,2017,P_D,74936.20221151867
Sinic,2017,P_A,10031.085143715913
Japanese,2017,D,6575.420362700418
Japanese,2017,A,329.39095204107286
Japanese,2017,H_D,1857.4213400664942
Japanese,2017,H_A,245.59592871807342
Japanese,2017,P_D,7337.372106056669
Japanese,2017,P_A,1693.1834341828537
Hindu,2017,D,10231.960832054954
Hindu,2017,A,337.13399012753547
Hindu,2017,H_D,3216.871601156038
Hindu,2017,H_A,334.8936605157504
Hindu,2017,P_D,11417.01240914193
Hindu,2017,P_A,1287.709464073819
Islamic,2017,D,18130.833839223742
Islamic,2017,A,1003.4736163326218
Islamic,2017,H_D,5403.163348601872
Islamic,2017,H_A,685.9032825662132
Islamic,2017,P_D,21814.065197214026
Islamic,2017,P_A,2433.5010648715265
Other Western,2017,D,578.6281178458238
Other Western,2017,A,58.32289647736047
Other Western,2017,H_D,505.1983715601705
Other Western,2017,H_A,131.6173869152613
Other Western,2017,P_D,1050.8278236548229
Other Western,2017,P_A,565.7600648740569
Other Civilizations,2017,D,13102.768023874016
Other Civilizations,2017,A,1069.2077940722625
