origin_group,year,from,to,count,stock,prob
Anglosphere ex-US,2000,A,D,3,101,0.037037037037037035
Anglosphere ex-US,2000,A,A,54,101,0.5092592592592593
Anglosphere ex-US,2000,A,H_D,0,101,0.009259259259259259
Anglosphere ex-US,2000,A,H_A,13,101,0.12962962962962962
Anglosphere ex-US,2000,A,P_D,0,101,0.009259259259259259
Anglosphere ex-US,2000,A,P_A,31,101,0.2962962962962963
Anglosphere ex-US,2000,D,D,1386,1816,0.7608337904552934
Anglosphere ex-US,2000,D,A,16,1816,0.009325287986834888
Anglosphere ex-US,2000,D,H_D,108,1816,0.05979155238617663
Anglosphere ex-US,2000,D,H_A,10,1816,0.006034009873834339
Anglosphere ex-US,2000,D,P_D,236,1816,0.13000548546352167
Anglosphere ex-US,2000,D,P_A,15,1816,0.00877674163466813
Anglosphere ex-US,2000,H_A,D,0,66,0.0136986301369863
Anglosphere ex-US,2000,H_A,A,0,66,0.0136986301369863
Anglosphere ex-US,2000,H_A,H_D,1,66,0.0273972602739726
Anglosphere ex-US,2000,H_A,H_A,40,66,0.5616438356164384
Anglosphere ex-US,2000,H_A,P_D,0,66,0.0136986301369863
Anglosphere ex-US,2000,H_A,P_A,25,66,0.3561643835616438
Anglosphere ex-US,2000,H_D,D,0,895,0.0011086474501108647
Anglosphere ex-US,2000,H_D,A,0,895,0.0011086474501108647
Anglosphere ex-US,2000,H_D,H_D,675,895,0.7494456762749445
Anglosphere ex-US,2000,H_D,H_A,23,895,0.026607538802660754
Anglosphere ex-US,2000,H_D,P_D,152,895,0.1696230598669623
Anglosphere ex-US,2000,H_D,P_A,23,895,0.026607538802660754
Anglosphere ex-US,2000,P_A,D,0,252,0.003861003861003861
Anglosphere ex-US,2000,P_A,A,0,252,0.003861003861003861
Anglosphere ex-US,2000,P_A,H_D,0,252,0.003861003861003861
Anglosphere ex-US,2000,P_A,H_A,0,252,0.003861003861003861
Anglosphere ex-US,2000,P_A,P_D,7,252,0.03088803088803089
Anglosphere ex-US,2000,P_A,P_A,245,252,0.9498069498069498
Anglosphere ex-US,2000,P_D,D,0,2810,0.0003549875754348598
Anglosphere ex-US,2000,P_D,A,0,2810,0.0003549875754348598
Anglosphere ex-US,2000,P_D,H_D,0,2810,0.0003549875754348598
Anglosphere ex-US,2000,P_D,H_A,0,2810,0.0003549875754348598
Anglosphere ex-US,2000,P_D,P_D,2616,2810,0.9290024849130281
Anglosphere ex-US,2000,P_D,P_A,112,2810,0.04011359602413916
Anglosphere ex-US,2001,A,D,2,124,0.022900763358778626
Anglosphere ex-US,2001,A,A,68,124,0.5267175572519084
Anglosphere ex-US,2001,A,H_D,0,124,0.007633587786259542
Anglosphere ex-US,2001,A,H_A,18,124,0.1450381679389313
Anglosphere ex-US,2001,A,P_D,2,124,0.022900763358778626
Anglosphere ex-US,2001,A,P_A,34,124,0.26717557251908397
Anglosphere ex-US,2001,D,D,2021,2709,0.7444771723122239
Anglosphere ex-US,2001,D,A,36,2709,0.013622974963181149
