rate,rmse,mae,mape,naive_rmse,skill
alpha,0.005186038154943337,0.0038470925904870597,72.74605431013164,0.00550828564438073,1.062137508404219
beta,0.21520100360776576,0.10770969188445284,992.1576402285782,0.21837551721430237,1.0147513884847983
h_D,0.020546877505781384,0.01603155214859749,390.6445124709538,0.022454311581801424,1.0928332821122497
h_A,0.020440654767605367,0.016006761766359796,101.54693797964167,0.030269480231808275,1.480846899277403
p_D,0.05726706138212461,0.05089284248314824,247.7576712733129,0.03756169118793254,0.6559039399157485
p_A,0.07273055015627933,0.06029828472200161,94.61800756852855,0.06285844728339754,0.8642647023613987
d,0.0,0.0,0.0,0.0,
