origin_group,year,compartment,count_proj,count_obs,error,ape
Anglosphere ex-US,2017,A,683.8255688097634,593,90.82556880976335,0.1529049979962346
Anglosphere ex-US,2018,A,725.2416480461361,534,191.2416480461361,0.35746102438530114
Anglosphere ex-US,2019,A,763.9718162951341,492,271.9718162951341,0.5516669701726857
Anglosphere ex-US,2020,A,799.8670530233518,469,330.8670530233518,0.703972453241174
Anglosphere ex-US,2021,A,832.8735229028932,288,544.8735229028932,1.885375511774717
Anglosphere ex-US,2022,A,863.0075059554583,261,602.0075059554583,2.2977385723490777
Anglosphere ex-US,2023,A,890.335951527813,228,662.335951527813,2.892296731562502
Anglosphere ex-US,2017,D,8852.954863917264,6887,1965.9548639172644,0.2854173728102881
Anglosphere ex-US,2018,D,9245.60132418646,5630,3615.6013241864603,0.6420886741584906
Anglosphere ex-US,2019,D,9578.665406082264,4530,5048.665406082264,1.1142497033948937
Anglosphere ex-US,2020,D,9858.978644558676,3444,6414.978644558676,1.8621128140954066
Anglosphere ex-US,2021,D,10092.586281425185,3097,6995.586281425185,2.2580975730875354
Anglosphere ex-US,2022,D,10284.841769832494,2731,7553.841769832494,2.7649494033061837
Anglosphere ex-US,2023,D,10440.48939344543,2402,8038.48939344543,3.3451890942344695
Anglosphere ex-US,2017,H_A,1214.4934217042187,1337,-122.50657829578131,0.09155947555738514
Anglosphere ex-US,2018,H_A,1155.59864029193,1338,-182.40135970807,0.13622207595823002
Anglosphere ex-US,2019,H_A,1116.9654085010063,1214,-97.03459149899368,0.07986386131604419
Anglosphere ex-US,2020,H_A,1079.721567779499,1183,-103.27843222050092,0.08722840559163929
Anglosphere ex-US,2021,H_A,1043.4866863234838,669,374.4866863234838,0.5589353527216177
Anglosphere ex-US,2022,H_A,1007.9336973913556,604,403.9336973913556,0.6676590039526539
Anglosphere ex-US,2023,H_A,972.7887769926609,533,439.7887769926609,0.8235744887503014
Anglosphere ex-US,2017,H_D,6750.797623065819,5438,1312.7976230658187,0.2413674614939913
Anglosphere ex-US,2018,H_D,7258.460569947297,4661,2597.460569947297,0.5571558494095445
Anglosphere ex-US,2019,H_D,7775.229957786656,3888,3887.229957786656,0.9995448592920175
Anglosphere ex-US,2020,H_D,8305.382256499903,3007,5298.382256499903,1.7614302714427867
Anglosphere ex-US,2021,H_D,8852.657915053825,3203,5649.6579150538255,1.7633139560093087
Anglosphere ex-US,2022,H_D,9407.055620947753,2950,6457.055620947753,2.188090688223569
Anglosphere ex-US,2023,H_D,9927.150338982776,2752,7175.150338982776,2.6063023388967586
Anglosphere ex-US,2017,P_A,6392.907539826465,7001,-608.0924601735351,0.08684553844237862
Anglosphere ex-US,2018,P_A,5892.304203370134,7062,-1169.695796629866,0.16560891924534418
Anglosphere ex-US,2019,P_A,5412.473069563316,7034,-1621.5269304366839,0.23049423318218676
Anglosphere ex-US,2020,P_A,4969.368122147857,7494,-2524.6318778521427,0.33684214514371486
Anglosphere ex-US,2021,P_A,4560.608667480822,4303,257.6086674808221,0.05985331493513524
Anglosphere ex-US,2022,P_A,4183.921014142437,4447,-263.07898585756266,0.05914545545358873
Anglosphere ex-US,2023,P_A,3837.138411409858,4442,-604.8615885901422,0.1361381023160347
Anglosphere ex-US,2017,P_D,17234.665538118606,15791,1443.6655381186065,0.09141752394368076
Anglosphere ex-US,2018,P_D,17902.565869319253,15022,2880.5658693192527,0.1917437175876491
Anglosphere ex-US,2019,P_D,18466.344973286454,14270,4196.344973286454,0.2940470165571056
Anglosphere ex-US,2020,P_D,18924.859973314182,12621,6303.859973314182,0.4994343189125481
Anglosphere ex-US,2021,P_D,19277.68621896376,16658,2619.6862189637613,0.15725350975231175
Anglosphere ex-US,2022,P_D,19538.26719021949,17225,2313.267190219489,0.13428928307323168
Anglosphere ex-US,2023,P_D,19751.54959384739,17861,1890.5495938473905,0.10584198823465404
Continental Europe,2017,A,1315.4340558671365,1166,149.43405586713652,0.12804974795812898
Continental Europe,2018,A,1365.1253117652095,1036,329.1253117652095,0.31738217142257424
Continental Europe,2019,A,1409.0367092679821,947,462.03670926798213,0.48738049500841996
Continental Europe,2020,A,1446.486580281679,938,508.4865802816789,0.5415192548260691
Continental Europe,2021,A,1477.0641516119929,399,1078.0641516119929,2.695160379029982
Continental Europe,2022,A,1500.5628544918961,350,1150.5628544918961,3.2779568504042627
Continental Europe,2023,A,1516.9278614103312,291,1225.9278614103312,4.198383087021682
Continental Europe,2017,D,27509.951025418268,20639,6870.951025418268,0.3328949140222029
Continental Europe,2018,D,29443.660864346315,16800,12643.660864346315,0.7525540660881087
Continental Europe,2019,D,31213.56415303022,13396,17817.56415303022,1.3299667203874166
Continental Europe,2020,D,32837.70022532322,10387,22450.70022532322,2.1612148849945343
Continental Europe,2021,D,34332.00751147316,9561,24771.00751147316,2.590567612578243
Continental Europe,2022,D,35710.58026138536,8435,27275.58026138536,3.233236161852224
Continental Europe,2023,D,36985.89253205467,7451,29534.89253205467,3.96335111809644
Continental Europe,2017,H_A,2021.2878711056574,2238,-216.71212889434264,0.09678969579917045
Continental Europe,2018,H_A,1837.0613864408715,2187,-349.9386135591285,0.15993538096852308
Continental Europe,2019,H_A,1692.2364669554079,1993,-300.7635330445921,0.15083426933028693
Continental Europe,2020,H_A,1578.2656914042288,1947,-368.73430859577115,0.18928865944341436
Continental Europe,2021,H_A,1488.5385963560198,824,664.5385963560198,0.8055013289163876
Continental Europe,2022,H_A,1417.931407392218,762,655.931407392218,0.8596741905533657
Continental Europe,2023,H_A,1362.467252004212,635,727.467252004212,1.1438164339688868
Continental Europe,2017,H_D,18981.17331205739,15390,3591.1733120573917,0.2333294335687994
Continental Europe,2018,H_D,20623.3209041408,13294,7329.320904140801,0.5512840093374051
Continental Europe,2019,H_D,22329.754695125528,11245,11084.754695125528,0.9856619860506427
Continental Europe,2020,H_D,24108.18515072836,9056,15052.18515072836,1.6619394005441495
Continental Europe,2021,H_D,25967.716000321507,9431,16536.716000321507,1.7532565734013472
Continental Europe,2022,H_D,27918.884351404733,8810,19108.884351404733,2.1687531893547534
Continental Europe,2023,H_D,29973.744538345047,8124,21849.744538345047,2.6891993277963135
Continental Europe,2017,P_A,9968.651719084975,11032,-1063.3482809150246,0.09637888887111616
Continental Europe,2018,P_A,9246.348269384067,11092,-1845.651730615933,0.16637985491895185
Continental Europe,2019,P_A,8554.40147382142,11016,-2461.598526178581,0.22343637343910147
Continental Europe,2020,P_A,7896.703828231376,11691,-3794.296171768624,0.32452071260422716
Continental Europe,2021,P_A,7275.3715788829695,4445,2830.3715788829695,0.6366107914716531
Continental Europe,2022,P_A,6691.2251591956765,4611,2080.2251591956765,0.45104621838587955
Continental Europe,2023,P_A,6144.148846441685,4592,1552.1488464416852,0.33793791561978775
Continental Europe,2017,P_D,52809.137779204924,48650,4159.137779204924,0.08548925570296446
Continental Europe,2018,P_D,54863.397521560735,46568,8295.397521560735,0.17813132172820406
Continental Europe,2019,P_D,56734.35739453633,43954,12780.357394536331,0.2907600362765631
Continental Europe,2020,P_D,58411.637497194344,39985,18426.637497194344,0.46082722695929434
Continental Europe,2021,P_D,59884.673965599206,49344,10540.673965599206,0.213611793810907
Continental Europe,2022,P_D,61142.479747381585,51036,10106.479747381585,0.19802260609717626
Continental Europe,2023,P_D,62173.38948197302,52911,9262.38948197302,0.17505271926922095
Hindu,2017,A,337.13399012753547,296,41.13399012753547,0.13849828325769517
Hindu,2018,A,404.62678603837145,287,117.62678603837145,0.408426340411012
Hindu,2019,A,480.8433683256146,287,193.84336832561462,0.6730672511306063
Hindu,2020,A,566.2743009002434,300,266.27430090024336,0.884632228904463
Hindu,2021,A,661.5300179179671,144,517.5300179179671,3.5691725373652905
Hindu,2022,A,767.3355243976762,133,634.3355243976762,4.7338471969975835
Hindu,2023,A,884.5250649428016,111,773.5250649428016,6.906473794132157
Hindu,2017,D,10231.960832054954,6939,3292.960832054954,0.4744900334373133
Hindu,2018,D,12431.716894910733,5710,6721.716894910733,1.1769772185100216
Hindu,2019,D,14934.099925781755,4724,10210.099925781755,2.1608677091601596
Hindu,2020,D,17788.42028795191,3739,14049.42028795191,3.756529488757195
Hindu,2021,D,21051.48481149245,3272,17779.48481149245,5.432167678427269
Hindu,2022,D,24788.7712791741,2811,21977.7712791741,7.815708136263905
Hindu,2023,D,29075.784010923882,2284,26791.784010923882,11.72506958902577
Hindu,2017,H_A,334.8936605157504,371,-36.10633948424959,0.09706005237701502
Hindu,2018,H_A,336.0021811353909,426,-89.99781886460909,0.21076772567824142
Hindu,2019,H_A,346.9987936831513,451,-104.00120631684871,0.2300911644178069
Hindu,2020,H_A,367.93571177418227,485,-117.06428822581773,0.24087302104077724
Hindu,2021,H_A,399.21654967772696,293,106.21654967772696,0.3612807812167584
Hindu,2022,H_A,441.5883718522449,282,159.5883718522449,0.5639165083118195
Hindu,2023,H_A,496.15079747309454,256,240.15079747309454,0.9344389006735196
Hindu,2017,H_D,3216.871601156038,2463,753.8716011560382,0.3059543835860545
Hindu,2018,H_D,3871.4386875375885,2184,1687.4386875375885,0.772283152191116
Hindu,2019,H_D,4642.534346465709,1889,2753.534346465709,1.4568964796114863
Hindu,2020,H_D,5548.7618170911865,1524,4024.7618170911865,2.639188076781106
Hindu,2021,H_D,6611.959472906883,1587,5024.959472906883,3.164332161780153
Hindu,2022,H_D,7857.7418035576065,1442,6415.7418035576065,4.446113515978937
Hindu,2023,H_D,9316.130181264894,1298,8018.130181264894,6.172540555246262
Hindu,2017,P_A,1287.709464073819,1443,-155.29053592618106,0.10754192238655198
Hindu,2018,P_A,1274.3319242655266,1579,-304.6680757344734,0.19282789603447684
Hindu,2019,P_A,1266.240351406734,1692,-425.7596485932661,0.2514823677455795
Hindu,2020,P_A,1264.6035655248572,1930,-665.3964344751428,0.3445864497540874
Hindu,2021,P_A,1270.4448378839518,821,449.4448378839518,0.5467698757712308
