origin_group,rmse,mape,direction_agreement,threshold_alarm_accuracy,threshold_alarm_sensitivity,threshold_alarm_specificity,threshold_alarm_precision,threshold_alarms_obs,threshold_alarms_proj
Anglosphere ex-US,3544.261275946959,0.8624934298086755,0.19444444444444445,1.0,,1.0,,0.0,0.0
Continental Europe,11674.840066244922,1.03088302518759,0.19444444444444445,1.0,,1.0,,0.0,0.0
Hindu,7915.71941982587,1.883560986747494,0.16666666666666666,1.0,,1.0,,0.0,0.0
Islamic,16757.456035371662,2.729662342501164,0.2222222222222222,1.0,,1.0,,0.0,0.0
Japanese,1677.6315238468478,0.6991088920052627,0.2777777777777778,1.0,,1.0,,0.0,0.0
Other Civilizations,6149.732814559749,1.323727390602879,0.16666666666666666,1.0,,1.0,,0.0,0.0
Other Western,256.87641468159677,0.9870972089213814,0.2777777777777778,0.2857142857142857,0.0,1.0,,5.0,0.0
Sinic,18771.58895182976,1.3226331676586947,0.19444444444444445,1.0,,1.0,,0.0,0.0
United States,7013.539325359259,0.7736366282069624,0.25,1.0,,1.0,,0.0,0.0
