origin_group,year,alpha,beta,h_D,h_A,p_D,p_A,d,I_total
Anglosphere ex-US,2000,0.009325287986834888,0.028503562945368172,0.05979155238617663,0.12962962962962962,0.1696230598669623,0.3561643835616438,0.0456012888273175,5940.0
Anglosphere ex-US,2001,0.013622974963181149,0.03278688524590164,0.05265095729013255,0.1450381679389313,0.18010167029774873,0.3435114503816794,0.0456012888273175,3857.0
Anglosphere ex-US,2002,0.013130615065653075,0.03425076452599388,0.04630269523151347,0.07281553398058252,0.11327040533037201,0.2537313432835821,0.0456012888273175,5835.0
Anglosphere ex-US,2003,0.012786685609904607,0.017341040462427744,0.03896894662066166,0.061946902654867256,0.10102420856610801,0.21120689655172414,0.0456012888273175,3745.0
Anglosphere ex-US,2004,0.012092341517039208,0.03554175293305728,0.041040674239648224,0.07612456747404844,0.09591836734693877,0.1952054794520548,0.0456012888273175,3598.0
Anglosphere ex-US,2005,0.011494252873563218,0.028188668713368687,0.04997501249375312,0.08734939759036145,0.10191972076788831,0.1952662721893491,0.0456012888273175,3684.0
Anglosphere ex-US,2006,0.010832559579077685,0.029418472063854048,0.047972763850201175,0.08928571428571429,0.08282019704433498,0.12910798122065728,0.0456012888273175,3742.0
Anglosphere ex-US,2007,0.013808463251670379,0.030099009900990098,0.051224944320712694,0.0936768149882904,0.06983240223463687,0.12365591397849462,0.0456012888273175,3469.0
Anglosphere ex-US,2008,0.013795085500790344,0.03244577675894904,0.04440293145566892,0.07415254237288135,0.0757238307349666,0.13484848484848486,0.0456012888273175,3361.0
Anglosphere ex-US,2009,0.011195577055977885,0.032273680813296755,0.042017968210089844,0.07528957528957529,0.07181539910525077,0.12645348837209303,0.0456012888273175,3230.0
Anglosphere ex-US,2010,0.011769373181697964,0.03253119429590018,0.04059772546945253,0.07312614259597806,0.06307895897662108,0.10663198959687907,0.0456012888273175,3307.0
Anglosphere ex-US,2011,0.011103938024531955,0.03269069572506287,0.045190445448676564,0.0782608695652174,0.06487507873189166,0.10966981132075472,0.0456012888273175,3201.0
Anglosphere ex-US,2012,0.01122461848909068,0.03854785478547855,0.0461596670450246,0.0832,0.0638592328983788,0.0916030534351145,0.0456012888273175,3278.0
Anglosphere ex-US,2013,0.010388325500865693,0.04162449392712551,0.040440267128370025,0.06451612903225806,0.05999250093738283,0.1064453125,0.0456012888273175,3374.0
Anglosphere ex-US,2014,0.009613073780341264,0.04133834404170202,0.04686373467916366,0.04813664596273292,0.0600250851101953,0.10143626570915619,0.0456012888273175,3508.0
Anglosphere ex-US,2015,0.009896324222431668,0.04353393085787452,0.04877474081055608,0.08141321044546851,0.054740791268758526,0.0912106135986733,0.0456012888273175,3589.0
Anglosphere ex-US,2016,0.011547619047619048,0.04879701796001355,0.04238095238095238,0.061823802163833076,0.055635491606714625,0.08722264728385616,0.0456012888273175,3404.0
Anglosphere ex-US,2017,0.012474615607774877,0.054740848539124594,0.03597331012474616,0.07,0.06189164370982553,0.09375,0.0456012888273175,0.0
Anglosphere ex-US,2018,0.012950150789427,0.06949418084153984,0.026609898882384245,0.0166358595194085,0.07005141388174807,0.1137546468401487,0.0456012888273175,0.0
Anglosphere ex-US,2019,0.01520828741459114,0.00011439029970258523,0.023583865990742782,0.06412825651302605,0.07702182284980745,0.15724815724815724,0.0456012888273175,0.0
Anglosphere ex-US,2020,0.012749927557229788,0.4529951902055094,0.02086351782092147,0.037815126050420166,0.08659588586595886,0.0865546218487395,0.0456012888273175,0.0
Anglosphere ex-US,2021,0.005798969072164949,0.009502090459901177,0.01804123711340206,0.02711864406779661,0.09283489096573208,0.11982248520710059,0.0456012888273175,0.0
Anglosphere ex-US,2022,0.002191380569758948,0.03293187805796011,0.013513513513513514,0.014925373134328358,0.0808251606357795,0.11456628477905073,0.0456012888273175,0.0
Anglosphere ex-US,2023,0.00041511000415110004,0.00019212295869356388,0.00041511000415110004,0.00425531914893617,0.0003624501631025734,0.001851851851851852,0.0456012888273175,0.0
Continental Europe,2000,0.008006924908028566,0.023183925811437404,0.06210776888119455,0.1242603550295858,0.16095380029806258,0.192,0.0458472850546197,13214.0
Continental Europe,2001,0.012083743150203738,0.02527646129541864,0.05788956020795279,0.08438818565400844,0.18316195372750643,0.23660714285714285,0.0458472850546197,8746.0
Continental Europe,2002,0.007152268021833239,0.03243470935130581,0.04837191793713533,0.09433962264150944,0.12365591397849462,0.16279069767441862,0.0458472850546197,12076.0
Continental Europe,2003,0.007583170254403131,0.023609816713264987,0.04827136333985649,0.0684931506849315,0.10686868686868686,0.15502183406113537,0.0458472850546197,8534.0
Continental Europe,2004,0.007399347116430903,0.03158154453491241,0.047515415306492566,0.0745697896749522,0.10849539406345957,0.1844484629294756,0.0458472850546197,8209.0
Continental Europe,2005,0.007137712003143212,0.03008400078140262,0.04930914805841137,0.08072487644151564,0.10266880560011667,0.16,0.0458472850546197,8737.0
Continental Europe,2006,0.008012254035583834,0.03381115612340293,0.04978201955932603,0.07552447552447553,0.08773272124458047,0.16295427901524032,0.0458472850546197,9655.0
Continental Europe,2007,0.0062834150912197545,0.03416949152542373,0.05825938378437965,0.07816377171215881,0.0868152794891901,0.128099173553719,0.0458472850546197,9099.0
Continental Europe,2008,0.006529898709445215,0.03271472757554128,0.0477659519769654,0.06469920544835414,0.08413672217353199,0.12403100775193798,0.0458472850546197,9938.0
Continental Europe,2009,0.006639083998845377,0.0341289556107571,0.04926392764360627,0.07489451476793249,0.07848033532506912,0.13812154696132597,0.0458472850546197,9722.0
Continental Europe,2010,0.005779557659051606,0.03698210224463562,0.051196869027031945,0.07157057654075547,0.07392080493346316,0.11510791366906475,0.0458472850546197,10205.0
Continental Europe,2011,0.0057828601243532325,0.037054148955830715,0.04843688856037219,0.060829493087557605,0.07303537072665384,0.102803738317757,0.0458472850546197,9938.0
