origin_group,year,alpha_obs,beta_obs,h_D_obs,h_A_obs,p_D_obs,p_A_obs,d_obs,alpha_proj,beta_proj,h_D_proj,h_A_proj,p_D_proj,p_A_proj,d_proj,alpha_error,alpha_abserr,alpha_ape,beta_error,beta_abserr,beta_ape,h_D_error,h_D_abserr,h_D_ape,h_A_error,h_A_abserr,h_A_ape,p_D_error,p_D_abserr,p_D_ape,p_A_error,p_A_abserr,p_A_ape,d_error,d_abserr,d_ape
Anglosphere ex-US,2017,0.012474615607774877,0.054740848539124594,0.03597331012474616,0.07,0.06189164370982553,0.09375,0.0456012888273175,0.010593079216073692,0.043718059489489924,0.04233424305592126,0.05623624192214027,0.030156396329783064,0.02868570743724419,0.0456012888273175,-0.001881536391701185,0.001881536391701185,0.13963562646013702,-0.01102278904963467,0.01102278904963467,0.19775065034931708,0.006360932931175102,0.006360932931175102,0.1720412078256889,-0.013763758077859733,0.013763758077859733,0.19385574757548918,-0.031735247380042464,0.031735247380042464,0.5046019710736942,-0.06506429256275581,0.06506429256275581,0.68669438060956,0.0,0.0,0.0
Anglosphere ex-US,2018,0.012950150789427,0.06949418084153984,0.026609898882384245,0.0166358595194085,0.07005141388174807,0.1137546468401487,0.0456012888273175,0.010478407523413474,0.04478533965527376,0.041908923793763764,0.05336193124701616,0.023806084805478633,0.013811757366319455,0.0456012888273175,-0.0024717432660135256,0.0024717432660135256,0.1771839819743663,-0.02470884118626608,0.02470884118626608,0.35050894827486234,0.015299024911379518,0.015299024911379518,0.55411376103013,0.036726071727607654,0.036726071727607654,2.0824656539813167,-0.04624532907626944,0.04624532907626944,0.6508713416067445,-0.09994288947382925,0.09994288947382925,0.8709267312987161,0.0,0.0,0.0
Anglosphere ex-US,2019,0.01520828741459114,0.00011439029970258523,0.023583865990742782,0.06412825651302605,0.07702182284980745,0.15724815724815724,0.0456012888273175,0.010363735830753229,0.04585261982105804,0.04148360453160638,0.050487620571892045,0.017455773281172426,0.0,0.0456012888273175,-0.004844551583837911,0.004844551583837911,0.2988934894797531,0.04573822952135545,0.04573822952135545,41.043276788717854,0.017899738540863595,0.017899738540863595,0.7281091813469802,-0.013640635941134002,0.013640635941134002,0.20944267007064427,-0.059566049568635024,0.059566049568635024,0.7634537029889712,-0.15724815724815724,0.15724815724815724,0.993680811091962,0.0,0.0,0.0
Anglosphere ex-US,2020,0.012749927557229788,0.4529951902055094,0.02086351782092147,0.037815126050420166,0.08659588586595886,0.0865546218487395,0.0456012888273175,0.010249064138092984,0.04691989998684187,0.04105828526944899,0.04761330989676882,0.011105461756867996,0.0,0.0456012888273175,-0.002500863419136804,0.002500863419136804,0.18188193419403406,-0.4060752902186675,0.4060752902186675,0.8944484412595868,0.02019476744852752,0.02019476744852752,0.9236742053103135,0.009798183846348653,0.009798183846348653,0.2524321016920307,-0.07549042410909086,0.07549042410909086,0.8618033068882706,-0.0865546218487395,0.0865546218487395,0.9885785584029178,0.0,0.0,0.0
Anglosphere ex-US,2021,0.005798969072164949,0.009502090459901177,0.01804123711340206,0.02711864406779661,0.09283489096573208,0.11982248520710059,0.0456012888273175,0.010134392445432766,0.04798718015262615,0.04063296600729149,0.044738999221644704,0.004755150232561789,0.0,0.0456012888273175,0.004335423373267817,0.004335423373267817,0.6376589343547813,0.038485089692724975,0.038485089692724975,3.664517063499671,0.022591728893889433,0.022591728893889433,1.1864632932903492,0.017620355153848095,0.017620355153848095,0.626643130848124,-0.08807974073317029,0.08807974073317029,0.9386672678645352,-0.11982248520710059,0.11982248520710059,0.9917233948773201,0.0,0.0,0.0
Anglosphere ex-US,2022,0.002191380569758948,0.03293187805796011,0.013513513513513514,0.014925373134328358,0.0808251606357795,0.11456628477905073,0.0456012888273175,0.01001972075277252,0.04905446031840999,0.04020764674513411,0.04186468854652059,0.0,0.0,0.0456012888273175,0.007828340183013573,0.007828340183013573,2.4529635409809067,0.01612258226044988,0.01612258226044988,0.4751455912021843,0.026694133231620593,0.026694133231620593,1.8392605764803758,0.02693931541219223,0.02693931541219223,1.6915971252266913,-0.0808251606357795,0.0808251606357795,0.9877788202035899,-0.11456628477905073,0.11456628477905073,0.9913469572729461,0.0,0.0,0.0
Anglosphere ex-US,2023,0.00041511000415110004,0.00019212295869356388,0.00041511000415110004,0.00425531914893617,0.0003624501631025734,0.001851851851851852,0.0456012888273175,0.009905049060112275,0.05012174048419382,0.03978232748297661,0.038990377871396475,0.0,0.0,0.0456012888273175,0.009489939055961176,0.009489939055961176,6.706149365154142,0.04992961752550026,0.04992961752550026,41.88294266240594,0.03936721747882551,0.03936721747882551,27.819192404368042,0.034735058722460306,0.034735058722460306,6.609505101034957,-0.0003624501631025734,0.0003624501631025734,0.26602819898909286,-0.001851851851851852,0.001851851851851852,0.6493506493506493,0.0,0.0,0.0
Continental Europe,2017,0.006635667925990507,0.06538301703837096,0.03467984113145404,0.05711849957374254,0.06384360589725271,0.10155902004454342,0.0458472850546197,0.004379972732666548,0.05005228082298707,0.04747559283702296,0.05119646434735259,0.040486609820927555,0.07060035061743974,0.0458472850546197,-0.0022556951933239587,0.0022556951933239587,0.2954155700833922,-0.015330736215383889,0.015330736215383889,0.23094364943555307,0.012795751705568924,0.012795751705568924,0.35862692489089193,-0.0059220352263899545,0.0059220352263899545,0.10189587256766486,-0.02335699607632516,0.02335699607632516,0.3602050773261323,-0.03095866942710368,0.03095866942710368,0.30186198555385685,0.0,0.0,0.0
Continental Europe,2018,0.006782888082346642,0.070894740518265,0.03147498066281906,0.038350910834132314,0.07307721223968122,0.10437556973564266,0.0458472850546197,0.004115304023030952,0.05163592173831466,0.0470902806609631,0.0486483592295377,0.03451553774200278,0.06309418496487851,0.0458472850546197,-0.0026675840593156893,0.0026675840593156893,0.3427498932390376,-0.019258818779950337,0.019258818779950337,0.26787521091417804,0.015615299998144039,0.015615299998144039,0.48084093290999724,0.010297448395405383,0.010297448395405383,0.26168259329015453,-0.038561674497678444,0.038561674497678444,0.5205605520481772,-0.04128138477076415,0.04128138477076415,0.3917547954836914,0.0,0.0,0.0
Continental Europe,2019,0.008729388942774006,7.164350193437455e-05,0.024173692456912633,0.0429769392033543,0.0752755065766086,0.125,0.0458472850546197,0.0038506353133953564,0.05321956265364225,0.04670496848490324,0.04610025411172192,0.028544465663079777,0.05558801931231727,0.0458472850546197,-0.0048787536293786495,0.0048787536293786495,0.5014450196280916,0.05314791915170788,0.05314791915170788,49.59477574004135,0.02253127602799061,0.02253127602799061,0.8950326244969906,0.0031233149083676193,0.0031233149083676193,0.07102165282410995,-0.046731040913528823,0.046731040913528823,0.6126611675347408,-0.06941198068768273,0.06941198068768273,0.5508887356165296,0.0,0.0,0.0
