origin_group,year,compartment,count
Anglosphere ex-US,2000,A,101
Anglosphere ex-US,2000,D,1816
Anglosphere ex-US,2000,H_A,66
Anglosphere ex-US,2000,H_D,895
Anglosphere ex-US,2000,P_A,252
Anglosphere ex-US,2000,P_D,2810
Anglosphere ex-US,2001,A,124
Anglosphere ex-US,2001,D,2709
Anglosphere ex-US,2001,H_A,124
Anglosphere ex-US,2001,H_D,1370
Anglosphere ex-US,2001,P_A,543
Anglosphere ex-US,2001,P_D,4778
Anglosphere ex-US,2002,A,199
Anglosphere ex-US,2002,D,4334
Anglosphere ex-US,2002,H_A,194
Anglosphere ex-US,2002,H_D,1794
Anglosphere ex-US,2002,P_A,1240
Anglosphere ex-US,2002,P_D,7465
Anglosphere ex-US,2003,A,219
Anglosphere ex-US,2003,D,4920
Anglosphere ex-US,2003,H_A,225
Anglosphere ex-US,2003,H_D,2141
Anglosphere ex-US,2003,P_A,1803
Anglosphere ex-US,2003,P_D,8610
Anglosphere ex-US,2004,A,282
Anglosphere ex-US,2004,D,5451
Anglosphere ex-US,2004,H_A,285
Anglosphere ex-US,2004,H_D,2443
Anglosphere ex-US,2004,P_A,2329
Anglosphere ex-US,2004,P_D,9693
Anglosphere ex-US,2005,A,325
Anglosphere ex-US,2005,D,5996
Anglosphere ex-US,2005,H_A,331
Anglosphere ex-US,2005,H_D,2858
Anglosphere ex-US,2005,P_A,2925
Anglosphere ex-US,2005,P_D,10877
Anglosphere ex-US,2006,A,385
Anglosphere ex-US,2006,D,6455
Anglosphere ex-US,2006,H_A,419
Anglosphere ex-US,2006,H_D,3241
Anglosphere ex-US,2006,P_A,3579
Anglosphere ex-US,2006,P_D,11685
Anglosphere ex-US,2007,A,420
Anglosphere ex-US,2007,D,6728
Anglosphere ex-US,2007,H_A,551
Anglosphere ex-US,2007,H_D,3573
Anglosphere ex-US,2007,P_A,4077
Anglosphere ex-US,2007,P_D,12538
Anglosphere ex-US,2008,A,465
Anglosphere ex-US,2008,D,6952
Anglosphere ex-US,2008,H_A,653
Anglosphere ex-US,2008,H_D,4034
Anglosphere ex-US,2008,P_A,4551
Anglosphere ex-US,2008,P_D,13124
Anglosphere ex-US,2009,A,511
Anglosphere ex-US,2009,D,7228
