author_id,display_name,career_start,career_end,n_ai_works,origin_group,abroad,abroad_year,hit,hit_year,pi_year,pi,active,recent_group
A5055029080,Q. Du,2007,2019,14,Sinic,False,,True,2014.0,2010.0,True,False,
A5104002922,Hassen Maaref,2011,2026,49,Islamic,False,,True,2011.0,2014.0,True,True,Islamic
A5100626300,Rui Yin,2002,2025,23,Sinic,False,,False,,2008.0,True,True,Sinic
A5051192937,S.E. Khadem,2005,2018,31,Islamic,False,,True,2008.0,,False,False,
A5020244795,Peter Bierhorst,2013,2026,28,United States,True,2018.0,True,2015.0,,False,True,United States
A5070111720,Á. M. Sánchez-Benítez,2003,2025,74,Continental Europe,False,,True,2003.0,2017.0,True,True,Continental Europe
A5030811308,Nikola Šibalić,2014,2024,25,Anglosphere ex-US,True,2015.0,True,2016.0,,False,True,Other Civilizations
A5070372398,Divya Jayoti,2014,2025,12,Hindu,False,,False,,,False,True,Hindu
A5027647292,Katherine Akulov,2014,2019,13,Other Western,False,,True,2014.0,,False,False,
A5029581584,Charles Roques‐Carmes,2016,2026,112,United States,True,2016.0,True,2016.0,2024.0,True,True,United States
A5061844500,Lois Holloway,2013,2018,11,Anglosphere ex-US,False,,True,2016.0,,False,False,
A5002799290,Belén Masiá,2009,2024,13,Continental Europe,False,,True,2009.0,,False,True,Continental Europe
A5073494767,Olga S. Ostroumova,2005,2019,10,Other Civilizations,False,,False,,,False,False,
A5009369438,J. Bono,2013,2016,13,United States,True,2013.0,True,2015.0,,False,False,
A5079460178,Jinfa Ho,2010,2021,23,Sinic,True,2013.0,True,2012.0,,False,True,Sinic
A5023341369,Fatih Erman,2011,2026,24,Islamic,False,,False,,,False,True,Islamic
A5113515124,Arpita Haldar,2015,2023,10,Hindu,False,,True,2020.0,,False,True,Hindu
A5008735503,W. Joshua Kennedy,2004,2026,11,United States,True,2005.0,False,,2024.0,True,True,United States
A5040299135,S. Joosten,2009,2024,21,United States,True,2009.0,True,2010.0,,False,True,United States
A5056291609,Ronny Knut,2007,2025,75,Continental Europe,False,,True,2014.0,2023.0,True,True,Continental Europe
A5037491716,Anna Andrejeva,2013,2018,14,Anglosphere ex-US,False,,True,2016.0,,False,False,
A5032996765,N. Snapi,2005,2022,31,Other Western,False,,True,2010.0,,False,True,Other Western
A5004203338,Yusheng Zhao,2003,2026,45,United States,False,,True,2005.0,2003.0,True,True,Sinic
A5063905190,D. S. Tasca,2006,2023,45,Other Civilizations,True,2012.0,True,2008.0,,False,True,Other Civilizations
A5025934190,Evan Meyer-Scott,2010,2024,40,Anglosphere ex-US,False,,True,2010.0,,False,True,Continental Europe
A5036414769,Shakeel Ahmed,2007,2020,37,Islamic,False,,True,2007.0,,False,True,
A5091660102,Zhijiang Chen,2007,2025,52,Japanese,True,2011.0,True,2007.0,2018.0,True,True,United States
A5023975200,Nadav Katz,2002,2026,107,Other Western,True,2006.0,True,2002.0,2010.0,True,True,Other Western
A5037290273,Satoru Odake,2004,2025,58,Japanese,False,,True,2006.0,,False,True,Japanese
A5068757300,Maris Bauer,2011,2024,26,Continental Europe,False,,True,2014.0,,False,True,Continental Europe
A5048064994,Mohammad Ashrafuzzaman,2002,2025,19,Continental Europe,False,,False,,,False,True,Islamic
A5061245657,Ahmed Almaiman,2013,2026,130,United States,True,2018.0,True,2016.0,2019.0,True,True,Islamic
A5054479968,F. Teppe,2001,2026,296,Continental Europe,True,2004.0,True,2001.0,2008.0,True,True,Continental Europe
A5024408237,Martijn J. R. Heck,2005,2024,114,Continental Europe,True,2009.0,True,2006.0,2020.0,True,True,Continental Europe
A5082258905,Yusuke Hoshi,2010,2022,70,Japanese,False,,True,2011.0,,False,True,United States
A5071143610,Sylvain Sergent,2009,2024,43,Continental Europe,True,2012.0,True,2009.0,,False,True,Japanese
A5100425991,Pu Zhou,2007,2025,693,Sinic,True,2013.0,True,2008.0,2013.0,True,True,Sinic
A5053616019,Usman Zabit,2010,2025,43,Continental Europe,True,2013.0,True,2010.0,,False,True,Islamic
A5007769659,Yehonadav Bekenstein,2012,2026,30,Other Western,True,2017.0,True,2017.0,2021.0,True,True,Other Western
A5101589407,Yueming Liu,2000,2015,10,Sinic,False,,False,,,False,False,
